Russian	Pronouncing	Farsi
Казахстан	qazzāqestān	نﺎﺘﺴﻗاﺰﻗ
Камбоджа	kāmboj	جﻮﺒﻣﺎﮐ
Канада	kānādā	ادﺎﻧﺎﮐ
Кения	keniyā	ﺎﯿﻨﮐ
Кипр	qebres	سﺮﺒﻗ
Китай	čin	ﻦﯿﭼ
Колумбия	kolombiyā	ﺎﯿﺒﻤﻠﮐ
Куба	kubā	ﺎﺑﻮﮐ
Кувейт	koveyt	ﺖﯾﻮﮐ
Кыргызстан	qerqizestān	نﺎﺘﺳﺰﯿﻗﺮﻗ
Лаос	lāus	سﻮﺋﻻ
Латвия	letuni	ﯽﻧﻮﺘﻟ
Ливан	lobnān	نﺎﻨﺒﻟ
Ливия	libi	ﯽﺒﯿﻟ
Литва	litvāni	ﯽﻧاﻮﺘﯿﻟ
Лихтенштейн	lixteneštāyn	ﻦﯾﺎﺘﺷاﻦﺘﺨﯿﻟ
Люксембург	lokzāmborg	گرﻮﺒﻣاﺰﮐﻮﻟ
Мадагаскар	mādāgāskār	رﺎﮑﺳﺎﮔادﺎﻣ
Македония	jomhuri-ye maqduniye	ﻪﯿﻧوﺪﻘﻣ یرﻮﻬﻤﺟ
Малайзия	mālezi	یﺰﻟﺎﻣ
Мальта	mālt	ﺖﻟﺎﻣ
Марокко	marākeš	ﺶﮐاﺮﻣ
Мексика	mekzik	ﮏﯾﺰﮑﻣ
Молдова	moldāvi	یواﺪﻟﻮﻣ
Монако	monāko	ﻮﮐﺎﻧﻮﻣ
Монголия	moqolestān	نﺎﺘﺴﻟﻮﻐﻣ
Мьянма	miyānmār	رﺎﻤﻧﺎﯿﻣ
Намибия	nāmibiyā	ﺎﯿﺒﯿﻣﺎﻧ
Непал	nepāl	لﺎﭙﻧ
Нидерланды	holand	ﺪﻨﻠﻫ
Новая Зеландия	niyuzland	ﺪﻨﻟزﻮﯿﻧ
Норвегия	norvež	ژوﺮﻧ
Объединённые	Арабские Эмираты	emārāt-e mottahede-ye arabi
ﯽﺑﺮﻋ هﺪﺤﺘﻣ تارﺎﻣا	Пакистан	pākestān
نﺎﺘﺴﮐﺎﭘ	Палестина	felestin
ﻦﯿﻄﺴﻠﻓ	Панама	pānāmā
ﺎﻣﺎﻧﺎﭘ	Парагвай	pārāgue
ﻪﺋﻮﮔارﺎﭘ	Перу	porov
وﺮﭘ	Польша	lahestān
نﺎﺘﺴﻬﻟ	Португалия	porteqāl
