Russian	Pronouncing	Farsi
Россия	rusiye	ﻪﯿﺳور
Румыния	romāni	ﯽﻧﺎﻣور
Саудовская Аравия	arabestān-e soʿudi	یدﻮﻌﺳ نﺎﺘﺴﺑﺮﻋ
Северная Корея	kare-ye šomāli	ﯽﻟﺎﻤﺷ ۀﺮﮐ
Сенегал	senegāl	لﺎﮕﻨﺳ
Сербия	serbestān	نﺎﺘﺴﺑﺮﺻ
Сирия	suriye	ﻪﯾرﻮﺳ
Словакия	eslovāki	ﯽﮐاﻮﻠﺳا
Словения	eslovoni	ﯽﻧوﻮﻠﺳا
Соединённые Штаты	Америки	eyālāt-e mottahede-ye emrikā
ﺎﮑﯾﺮﻣا ۀﺪﺤﺘﻣ تﻻﺎﯾا	Суринам	surinām
مﺎﻨﯾرﻮﺳ	Таджикистан	tājikestān
نﺎﺘﺴﮑﯿﺟﺎﺗ	Таиланд	tāyland
ﺪﻨﻠﯾﺎﺗ	Тайвань	tāyvān
ناﻮﯾﺎﺗ	Танзания	tānzāniyā
ﺎﯿﻧاﺰﻧﺎﺗ	Тасмания	tāsmāni
ﯽﻧﺎﻤﺳﺎﺗ	Тунис	tunes
ﺲﻧﻮﺗ	Туркмения	torkamanestān
نﺎﺘﺴﻨﻤﮐﺮﺗ	Турция	torkiye
ﻪﯿﮐﺮﺗ	Узбекистан	ozbakestān
نﺎﺘﺴﮑﺑزا	Украина	okrāyn
ﻦﯾاﺮﮐوا	Уругвай	orogue
ﻪﺋﻮﮔوروا	Финляндия	fanlānd
ﺪﻧﻼﻨﻓ	Франция	farānse
ﻪﺴﻧاﺮﻓ	Французская Полинезия	polinezi-ye farānse
ﻪﺴﻧاﺮﻓ یﺰﻨﯿﻠﭘ	Хорватия	korovāsi
ﯽﺳاوﺮﮐ	Черногория	montenegro
وﺮﮕﻧﻪﺘﻧﻮﻣ	Чехия	jomhuri-ye ček
ﮏﭼ یرﻮﻬﻤﺟ	Чили	šhili
ﯽﻠﯿﺷ	Швейцария	suis
ﺲﯿﺋﻮﺳ	Швеция	sued
ﺪﺋﻮﺳ	Шотландия	eskātland
ﺪﻨﻠﺗﺎﮑﺳا	Эквадор	ekvādor
روداﻮﮐا	Эстония	estoni
ﯽﻧﻮﺘﺳا	ЮАР	jomhuri-ye āfriqā-ye jonubi
ﯽﺑﻮﻨﺟ یﺎﻘﯾﺮﻓآ یرﻮﻬﻤﺟ	Южная Корея	kare-ye jonubi
ﯽﺑﻮﻨﺟ ۀﺮﮐ	Ямайка	jāmāikā
ﺎﮑﯿﺋﺎﻣﺎﺟ	Япония	žāpon
