Russian	Pronouncing	Farsi
вес	vazn	نزو
длина	tul	لﻮﻃ
ширина	arz	ضﺮﻋ
высота	ertefāʿ	عﺎﻔﺗرا
глубина	omq	ﻖﻤﻋ
объём	hajm	ﻢﺠﺣ
площадь	masāhat	ﺖﺣﺎﺴﻣ
грамм	garm	مﺮﮔ
миллиграмм	mili geram	مﺮﮔ ﯽﻠﯿﻣ
килограмм	kilugeram	مﺮﮔﻮﻠﯿﮐ
тонна	ton	ﻦﺗ
фунт (мера веса)	pond	ﺪﻧﻮﭘ
унция	ons	ﺲﻧوا
метр	metr	ﺮﺘﻣ
миллиметр	mili metr	ﺮﺘﻣ ﯽﻠﯿﻣ
сантиметр	sāntimetr	ﺮﺘﻤﯿﺘﻧﺎﺳ
километр	kilumetr	ﺮﺘﻣﻮﻠﯿﮐ
миля	māyel	ﻞﯾﺎﻣ
дюйм	inč	ﭻﻨﯾا
фут	fowt	تﻮﻓ
ярд	yārd	درﺎﯾ
квадратный метр	metr morabbaʿ	ﻊﺑﺮﻣ ﺮﺘﻣ
гектар	hektār	رﺎﺘﮑﻫ
литр	litr	ﺮﺘﯿﻟ
градус	daraje	ﻪﺟرد
вольт	volt	ﺖﻟو
ампер	āmper	ﺮﭙﻣآ
лошадиная сила	asb-e boxār	رﺎﺨﺑ ﺐﺳا
количество	meqdār	راﺪﻘﻣ
немного …	kami	ﯽﻤﮐ
половина	nim	ﻢﯿﻧ
дюжина	dojin	ﻦﯿﺟود
штука	tā	ﺎﺗ
размер (предмета)	andāze	هزاﺪﻧا
масштаб	meqyās	سﺎﯿﻘﻣ
минимальный	haddeaqal	ﻞﻗاﺪﺣ
наименьший	kučaktarin	ﻦﯾﺮﺘﮑﭼﻮﮐ
средний	motevasset	ﻂﺳﻮﺘﻣ
максимальный	haddeaksar	ﺮﺜﮐاﺪﺣ
наибольший	bištarin	ﻦﯾﺮﺘﺸﯿﺑ
