Russian	Pronouncing	Farsi
банка (стеклянная)	šišeh konserv	وﺮﺴﻨﮐ ﻪﺸﯿﺷ
банка (жестяная)	quti	ﯽﻃﻮﻗ
ведро	satl	ﻞﻄﺳ
бочка	boške	ﻪﮑﺸﺑ
таз	tašt	ﺖﺸﺗ
бак	maxzan	نﺰﺨﻣ
фляжка	qomqome	ﻪﻤﻘﻤﻗ
канистра	dabbe	ﻪﺑد
цистерна	maxzan	نﺰﺨﻣ
кружка	livān	ناﻮﯿﻟ
чашка	fenjān	نﺎﺠﻨﻓ
блюдце	naʿlbeki	ﯽﮑﺒﻠﻌﻧ
стакан	estekān	نﺎﮑﺘﺳا
бокал	gilās-e šarāb	باﺮﺷ سﻼﯿﮔ
кастрюля	qāblame	ﻪﻤﻠﺑﺎﻗ
бутылка	botri	یﺮﻄﺑ
горлышко (бутылки)	gardan-e botri	یﺮﻄﺑ ندﺮﮔ
графин	tong	ﮓﻨﺗ
кувшин	pārč	چرﺎﭘ
сосуд	zarf	فﺮﻇ
горшок	sofāl	لﺎﻔﺳ
ваза	goldān	ناﺪﻠﮔ
флакон	botri	یﺮﻄﺑ
пузырёк	viyāl	لﺎﯾو
тюбик	tiyub	بﻮﯿﺗ
мешок (сахара и т.п.)	kise	ﻪﺴﯿﮐ
пакет (мешок)	pākat	ﺖﮐﺎﭘ
пачка (чая, сигарет)	baste	ﻪﺘﺴﺑ
коробка	jaʿbe	ﻪﺒﻌﺟ
ящик	sanduq	قوﺪﻨﺻ
корзина	sabad	ﺪﺒﺳ
