Russian	Pronouncing	Farsi
понедельник	došanbe	ﻪﺒﻨﺷود
вторник	se šanbe	ﻪﺒﻨﺷ ﻪﺳ
среда	čāhāršanbe	ﻪﺒﻨﺷرﺎﻬﭼ
четверг	panj šanbe	ﻪﺒﻨﺷ ﺞﻨﭘ
пятница	jomʿe	ﻪﻌﻤﺟ
суббота	šanbe	ﻪﺒﻨﺷ
воскресенье	yek šanbe	ﻪﺒﻨﺷ ﮏﯾ
сегодня	emruz	زوﺮﻣا
завтра	fardā	ادﺮﻓ
послезавтра	pas fardā	ادﺮﻓ ﺲﭘ
вчера	diruz	زوﺮﯾد
позавчера	pariruz	زوﺮﯾﺮﭘ
день	ruz	زور
рабочий день	ruz-e kāri	یرﺎﮐ زور
праздничный день	ruz-e jašn	ﻦﺸﺟ زور
выходной день	ruz-e taʿtil	ﻞﯿﻄﻌﺗ زور
выходные	āxar-e hafte	ﻪﺘﻔﻫ ﺮﺧآ
весь день	tamām-e ruz	زور مﺎﻤﺗ
на следующий день	ruz-e baʿd	ﺪﻌﺑ زور
2 дня назад	do ruz-e piš	ﺶﯿﭘ زور ود
накануне	ruz-e qabl	ﻞﺒﻗ زور
ежедневный	ruzāne	ﻪﻧازور
ежедневно	har ruz	زور ﺮﻫ
неделя	hafte	ﻪﺘﻔﻫ
на прошлой неделе	hafte-ye gozašte	ﻪﺘﺷﺬﮔ ﻪﺘﻔﻫ
на следующей неделе	hafte-ye āyande	هﺪﻨﯾآ ﻪﺘﻔﻫ
еженедельный	haftegi	ﯽﮕﺘﻔﻫ
еженедельно	har hafte	ﻪﺘﻔﻫ ﺮﻫ
2 раза в неделю	do bār dar hafte	ﻪﺘﻔﻫرد رﺎﺑ ود
каждый вторник	har sešanbe	ﻪﺒﻨﺷ ﻪﺳ ﺮﻫ
