Russian	Pronouncing	Farsi
утро	sobh	ﺢﺒﺻ
утром	sobh	ﺢﺒﺻ
полдень	zohr	ﺮﻬﻇ
после обеда	baʿd az zohr	ﺮﻬﻇزا ﺪﻌﺑ
вечер	asr	ﺮﺼﻋ
вечером	asr	ﺮﺼﻋ
ночь	šab	ﺐﺷ
ночью	šab	ﺐﺷ
полночь	nesfe šab	ﺐﺷ ﻪﻔﺼﻧ
секунда	sānie	ﻪﯿﻧﺎﺛ
минута	daqiqe	ﻪﻘﯿﻗد
час	sāʿat	ﺖﻋﺎﺳ
полчаса	nim sāʿat	ﺖﻋﺎﺳ ﻢﯿﻧ
четверть часа	yek robʿ	ﻊﺑر ﮏﯾ
15 минут	pānzdah daqiqe	ﻪﻘﯿﻗد هدﺰﻧﺎﭘ
сутки	šabāne ruz	زور ﻪﻧﺎﺒﺷ
восход солнца	tolu-ʿe āftāb	بﺎﺘﻓآ عﻮﻠﻃ
рассвет	sahar	ﺮﺤﺳ
раннее утро	sobh-e zud	دوز ﺢﺒﺻ
закат	qorub	بوﺮﻏ
рано утром	sobh-e zud	دوز ﺢﺒﺻ
сегодня утром	emruz sobh	ﺢﺒﺻ زوﺮﻣا
завтра утром	fardā sobh	ﺢﺒﺻ ادﺮﻓ
сегодня днём	emruz zohr	ﺮﻬﻇ زوﺮﻣا
после обеда	baʿd az zohr	ﺮﻬﻇزا ﺪﻌﺑ
завтра после обеда	fardā baʿd az zohr	ﺮﻬﻇزا ﺪﻌﺑ ادﺮﻓ
сегодня вечером	emšab	ﺐﺸﻣا
завтра вечером	fardā šab	ﺐﺷ ادﺮﻓ
ровно в 3 часа	sar-e sāʿat-e se	۳ ﺖﻋﺎﺳ ﺮﺳ
около 4-х часов	nazdik-e sāʿat-e čāhār	۴ ﺖﻋﺎﺳ ﮏﯾدﺰﻧ
к 12-ти часам	nazdik zohr	ﺮﻬﻇ ﮏﯾدﺰﻧ
через 20 минут	bist daqiqe-ye digar	ﺮﮕﯾد ﻪﻘﯿﻗد۰۲
через час	yek sāʿat-e digar	ﺮﮕﯾد ﺖﻋﺎﺳ ﮏﯾ
вовремя	be moqeʿ	ﻊﻗﻮﻣ ﻪﺑ
без четверти	yek robʿ be	ﻪﺑ ﻊﺑر ﮏﯾ
в течение часа	yek sāʿat-e digar	ﺮﮕﯾد ﺖﻋﺎﺳ ﮏﯾ
каждые 15 минут	har pānzdah daqiqe	ﻪﻘﯿﻗد ۵۱ ﺮﻫ
круглые сутки	šabāne ruz	زور ﻪﻧﺎﺒﺷ
