Russian	Pronouncing	Farsi
январь	žānvie	ژاﻧﻮﯾﻪ
февраль	fevriye	ﻓﻮرﯾﻪ
март	mārs	ﻣﺎرس
апрель	āvril	آورﯾﻞ
май	meh	ﻣﻪ
июнь	žuan	ژوﺋﻦ
июль	žuiye	ژوﺋﯿﻪ
август	owt	اوت
сентябрь	septāmbr	ﺳﭙﺘﺎﻣﺒﺮ
октябрь	oktobr	اﮐﺘﺒﺮ
ноябрь	novāmbr	ﻧﻮاﻣﺒﺮ
декабрь	desāmr	دﺳﺎﻣﺒﺮ
весна	bahār	ﺑﻬﺎر
весной	dar bahār	در ﺑﻬﺎر
весенний	bahāri	ﺑﻬﺎری
лето	tābestān	ﺗﺎﺑﺴﺘﺎن
летом	dar tābestān	در ﺗﺎﺑﺴﺘﺎن
летний	tābestāni	ﺗﺎﺑﺴﺘﺎﻧﯽ
осень	pāyiz	ﭘﺎﯾﯿﺰ
осенью	dar pāyiz	در ﭘﺎﯾﯿﺰ
осенний	pāyizi	ﭘﺎﯾﯿﺰی
зима	zemestān	زﻣﺴﺘﺎن
зимой	dar zemestān	در زﻣﺴﺘﺎن
зимний	zemestāni	زﻣﺴﺘﺎﻧﯽ
месяц	māh	ﻣﺎه
в этом месяце	in māh	اﯾﻦ ﻣﺎه
в следующем месяце	māh-e āyande	ﻣﺎه آﯾﻨﺪه
в прошлом месяце	māh-e gozašte	ﻣﺎه ﮔﺬﺷﺘﻪ
месяц назад	yek māh qabl	ﯾﮏ ﻣﺎه ﻗﺒﻞ
через месяц	yek māh digar	ﯾﮏ ﻣﺎه دﯾﮕﺮ
через 2 месяца	do māh-e digar	۲ﻣﺎه دﯾﮕﺮ
весь месяц	tamām-e māh	ﺗﻤﺎم ﻣﺎه
целый месяц	tamām-e māh	ﺗﻤﺎم ﻣﺎه
ежемесячный	māhāne	ﻣﺎﻫﺎﻧﻪ
ежемесячно	māhāne	ﻣﺎﻫﺎﻧﻪ
каждый месяц	har māh	ﻫﺮ ﻣﺎه
2 раза в месяц	do bār dar māh	دو ﺑﺎر درﻣﺎه
год	sāl	ﺳﺎل
в этом году	emsāl	اﻣﺴﺎل
в следующем году	sāl-e āyande	ﺳﺎل آﯾﻨﺪه
в прошлом году	sāl-e gozašte	ﺳﺎل ﮔﺬﺷﺘﻪ
год назад	yek sāl qabl	ﯾﮏ ﺳﺎل ﻗﺒﻞ
через год	yek sāl-e digar	ﯾﮏ ﺳﺎل دﯾﮕﺮ
через 2 года	do sāl-e digar	۲ﺳﺎل دﯾﮕﺮ
весь год	tamām-e sāl	ﺗﻤﺎم ﺳﺎل
целый год	tamām-e sāl	ﺗﻤﺎم ﺳﺎل
каждый год	har sāl	ﻫﺮ ﺳﺎل
ежегодный	sālāne	ﺳﺎﻻﻧﻪ
ежегодно	sālāne	ﺳﺎﻻﻧﻪ
4 раза в год	čāhār bār dar sāl	ﭼﻬﺎر ﺑﺎر در ﺳﺎل
число (день месяца)	tārix	ﺗﺎرﯾﺦ
дата	tārix	ﺗﺎرﯾﺦ
календарь	taqvim	ﺗﻘﻮﯾﻢ
полгода	nim sāl	ﻧﯿﻢ ﺳﺎل
полугодие	nim sāl	ﻧﯿﻢ ﺳﺎل
сезон	fasl	ﻓﺼﻞ
век (столетие)	qarn	ﻗﺮن
