Russian	Pronouncing	Farsi
Здравствуйте!	salām	مﻼﺳ
Доброе утро!	sobh bexeyr	ﺮﯿﺨﺑ ﺢﺒﺻ
Добрый день!	ruz bexeyr!	!ﺮﯿﺨﺑ زور
Добрый вечер!	asr bexeyr	ﺮﯿﺨﺑﺮﺼﻋ
здороваться	salām kardan	ندﺮﮐ مﻼﺳ
Привет!	salām	مﻼﺳ
привет, приветствие	salām	مﻼﺳ
приветствовать	salām kardan	ندﺮﮐ مﻼﺳ
Как у вас дела?	haletān četowr ast?	؟ﺖﺳا رﻮﻄﭼ نﺎﺘﻟﺎﺣ
Как дела? (у тебя)	četorid?	؟ﺪﯾرﻮﻄﭼ
Что нового?	če xabar?	؟ﺮﺒﺧ ﻪﭼ
До свидания! (на «Вы»)	xodāhāfez	ﻆﻓﺎﺣاﺪﺧ
До свидания! (на «ты»)	bāy bāy	یﺎﺑ یﺎﺑ
До скорой встречи!	be omid-e didār!	!راﺪﯾد ﺪﯿﻣا ﻪﺑ
Прощай! Прощайте!	xodāhāfez!	!ﻆﻓﺎﺣاﺪﺧ
прощаться	xodāhāfezi kardan	ندﺮﮐ ﯽﻈﻓﺎﺣاﺪﺧ
Пока!	tā bezudi!	!یدوﺰﺑ ﺎﺗ
Спасибо!	motešakker-am!	!مﺮﮑﺸﺘﻣ
Большое спасибо!	besyār motešakker-am!	!مﺮﮑﺸﺘﻣ رﺎﯿﺴﺑ
Пожалуйста (ответ)	xāheš mikonam	ﻢﻨﮐ ﯽﻣ ﺶﻫاﻮﺧ
Не стоит благодарности	tašakkor lāzem nist	ﺖﺴﯿﻧ مزﻻ ﺮﮑﺸﺗ
Не за что	qābel-i nadārad	دراﺪﻧ ﯽﻠﺑﺎﻗ
Извини!	bebaxšid!	!ﺪﯿﺸﺨﺒﺑ
извинять	baxšidan	نﺪﯿﺸﺨﺑ
извиняться	ozr xāstan	ﻦﺘﺳاﻮﺧ رﺬﻋ
Мои извинения.	ozr mixāham	ﻢﻫاﻮﺧ ﯽﻣرﺬﻋ
Простите!	bebaxšid!	!ﺪﯿﺸﺨﺒﺑ
прощать (кого-л.)	baxšidan	نﺪﯿﺸﺨﺑ
Ничего страшного (ответ)	mohem nist	ﺖﺴﯿﻧ ﻢﻬﻣ
пожалуйста (при просьбе)	lotfan	ًﺎﻔﻄﻟ
Не забудьте!	farāmuš nakonid!	!ﺪﯿﻨﮑﻧ شﻮﻣاﺮﻓ
Конечно!	albate!	!ﻪﺘﺒﻟا
Конечно нет!	albate ke neh!	!ﻪﻧ ﻪﮐ ﻪﺘﺒﻟا
Согласен!	besyār xob!	!بﻮﺧرﺎﯿﺴﺑ
Хватит!	bas ast!	!ﺖﺳا ﺲﺑ
