Russian	Pronouncing	Farsi
туризм	gardešgari	یﺮﮕﺷدﺮﮔ
турист	turist	ﺖﺴﯾرﻮﺗ
путешествие	mosāferat	تﺮﻓﺎﺴﻣ
приключение	mājarā	اﺮﺟﺎﻣ
поездка	safar	ﺮﻔﺳ
отпуск	moraxxasi	ﯽﺼﺧﺮﻣ
быть в отпуске	dar moraxassi budan	ندﻮﺑ ﯽﺼﺧﺮﻣ رد
отдых	esterāhat	ﺖﺣاﺮﺘﺳا
поезд	qatār	رﺎﻄﻗ
поездом	bā qatār	رﺎﻄﻗ ﺎﺑ
самолёт	havāpeymā	ﺎﻤﯿﭘاﻮﻫ
самолётом	bā havāpeymā	ﺎﻤﯿﭘاﻮﻫ ﺎﺑ
на автомобиле	bā otomobil	ﻞﯿﺒﻣﻮﺗا ﺎﺑ
на корабле	dar kešti	ﯽﺘﺸﮐ ﺎﺑ
багаж	bār	رﺎﺑ
чемодан	čamedān	ناﺪﻤﭼ
тележка для багажа	čarx-e hamle bar	رﺎﺑ ﻞﻤﺣ خﺮﭼ
паспорт	gozarnāme	ﻪﻣﺎﻧرﺬﮔ
виза	ravādid	ﺪﯾداور
билет (на поезд и т.п.)	belit	ﻂﯿﻠﺑ
авиабилет	belit-e havāpeymā	ﺎﻤﯿﭘاﻮﻫ ﻂﯿﻠﺑ
путеводитель	ketāb-e rāhnamā	ﺎﻤﻨﻫار بﺎﺘﮐ
карта (географ.)	naqše	ﻪﺸﻘﻧ
местность	mahal	ﻞﺤﻣ
место	jā	ﺎﺟ
экзотика	qarāyeb	ﺐﯾاﺮﻏ
экзотический	qarib	ﺐﯾﺮﻏ
удивительный	heyrat angiz	ﺰﯿﮕﻧا تﺮﯿﺣ
группа	goruh	هوﺮﮔ
экскурсия	gardeš	شدﺮﮔ
экскурсовод	rāhnamā-ye tur	رﻮﺗ یﺎﻤﻨﻫار
