Russian	Pronouncing	Farsi
памятник	mojassame	ﻣﺠﺴﻤﻪ
крепость	qalʿe	ﻗﻠﻌﻪ
дворец	kāx	ﮐﺎخ
зáмок	qalʿe	ﻗﻠﻌﻪ
башня	borj	ﺑﺮج
мавзолей	ārāmgāh	آراﻣﮕﺎه
архитектура	meʿmāri	ﻣﻌﻤﺎری
средневековый	qorun-e vasati	ﻗﺮون وﺳﻄﯽ
старинный	qadimi	ﻗﺪﯾﻤﯽ
национальный	melli	ﻣﻠﯽ
известный	mašhur	ﻣﺸﻬﻮر
турист	turist	ﺗﻮرﯾﺴﺖ
гид (экскурсовод)	rāhnamā-ye tur	راﻫﻨﻤﺎی ﺗﻮر
экскурсия	gardeš	ﮔﺮدش
показывать	nešān dādan	ﻧﺸﺎن دادن
рассказывать	hekāyat kardan	ﺣﮑﺎﯾﺖ ﮐﺮدن
найти	peydā kardan	ﭘﯿﺪا ﮐﺮدن
потеряться	gom šodan	ﮔﻢ ﺷﺪن
схема (метро и т.п.)	naqše	ﻧﻘﺸﻪ
план (города и т.п.)	naqše	ﻧﻘﺸﻪ
сувенир	sowqāti	ﺳﻮﻏﺎﺗﯽ
магазин сувениров	forušgāh-e sowqāti	ﻓﺮوﺷﮕﺎه ﺳﻮﻏﺎﺗﯽ
фотографировать	aks gereftan	ﻋﮑﺲ ﮔﺮﻓﺘﻦ
фотографироваться	aks gereftan	ﻋﮑﺲ ﮔﺮﻓﺘﻦ
