Russian	Pronouncing	Farsi
самолёт	havāpeymā	ﺎﻤﯿﭘاﻮﻫ
авиабилет	belit-e havāpeymā	ﺎﻤﯿﭘاﻮﻫ ﻂﯿﻠﺑ
авиакомпания	šerkat-e havāpeymāyi	ﯽﯾﺎﻤﯿﭘاﻮﻫ ﺖﮐﺮﺷ
аэропорт	forudgāh	هﺎﮔدوﺮﻓ
сверхзвуковой	māvarā sowt	تﻮﺻ ءاروﺎﻣ
командир корабля	kāpitān	نﺎﺘﯿﭘﺎﮐ
экипаж	xadame	ﻪﻣﺪﺧ
пилот	xalabān	نﺎﺒﻠﺧ
стюардесса	mehmāndār-e havāpeymā	ﺎﻤﯿﭘاﻮﻫ راﺪﻧﺎﻤﻬﻣ
штурман	nāvbar	ﺮﺑوﺎﻧ
крылья	bāl-hā	ﺎﻫ لﺎﺑ
хвост	dam	مد
кабина	kābin	ﻦﯿﺑﺎﮐ
двигатель	motor	رﻮﺗﻮﻣ
шасси	šāssi	ﯽﺳﺎﺷ
турбина	turbin	ﻦﯿﺑرﻮﺗ
пропеллер	parvāne	ﻪﻧاوﺮﭘ
чёрный ящик	jaʿbe-ye siyāh	هﺎﯿﺳ ﻪﺒﻌﺟ
штурвал	farmān	نﺎﻣﺮﻓ
горючее	suxt	ﺖﺧﻮﺳ
инструкция по безопасности	dasturolʿamal	ﻞﻤﻌﻟارﻮﺘﺳد
кислородная маска	māsk-e oksižen	نﮋﯿﺴﮐا ﮏﺳﺎﻣ
униформа	oniform	مرﻮﻔﯿﻧوا
спасательный жилет	jeliqe-ye nejāt	تﺎﺠﻧ ﮥﻘﯿﻠﺟ
парашют	čatr-e nejāt	تﺎﺠﻧﺮﺘﭼ
взлёт	parvāz	زاوﺮﭘ
взлетать	parvāz kardan	ندﺮﮐ زاوﺮﭘ
взлётная полоса	bānd-e forudgāh	هﺎﮔدوﺮﻓ ﺪﻧﺎﺑ
видимость	meydān did	ﺪﯾد ناﺪﯿﻣ
полёт	parvāz	زاوﺮﭘ
высота	ertefāʿ	عﺎﻔﺗرا
воздушная яма	čāle-ye havāyi	ﯽﯾاﻮﻫ ﻪﻟﺎﭼ
место	jā	ﺎﺟ
наушники	guši	ﯽﺷﻮﮔ
откидной столик	sini-ye tāšow	ﻮﺷﺎﺗ ﯽﻨﯿﺳ
иллюминатор	panjere	هﺮﺠﻨﭘ
проход (между креслами)	rāhrow	وﺮﻫار
