Russian	Pronouncing	Farsi
поезд	qatār	ﻗﻄﺎر
электричка	qatār-e barqi	ﻗﻄﺎر ﺑﺮﻗﯽ
скорый поезд	qatār-e sariʿosseyr	ﻗﻄﺎرﺳﺮﯾﻊ اﻟﺴﯿﺮ
тепловоз	lokomotiv-e dizel	ﻟﻮﮐﻮﻣﻮﺗﯿﻮ دﯾﺰل
паровоз	lokomotiv-e boxar	ﻟﻮﮐﻮﻣﻮﺗﯿﻮ ﺑﺨﺎر
вагон	vāgon	واﮔﻦ
вагон-ресторан	vāgon-e resturān	واﮔﻦ رﺳﺘﻮران
рельсы	reyl-hā	رﯾﻞ ﻫﺎ
железная дорога	rāh āhan	راه آﻫﻦ
шпала	reyl-e band	رﯾﻞ ﺑﻨﺪ
платформа	sakku-ye rāh-āhan	ﺳﮑﻮی راه آﻫﻦ
путь	masir	ﻣﺴﯿﺮ
семафор	nešanar	ﻧﺸﺎﻧﺒﺮ
станция	istgāh	اﯾﺴﺘﮕﺎه
машинист	rānande	راﻧﻨﺪه
носильщик	bārbar	ﺑﺎرﺑﺮ
проводник	rāhnamā-ye qatār	راﻫﻨﻤﺎی ﻗﻄﺎر
пассажир	mosāfer	ﻣﺴﺎﻓﺮ
контролёр	kontorol či	ﮐﻨﺘﺮل ﭼﯽ
коридор (в поезде)	rāhrow	راﻫﺮو
стоп-кран	tormoz-e ezterāri	ﺗﺮﻣﺰ اﺿﻄﺮاری
купе	kupe	ﮐﻮﭘﻪ
полка (для лежания)	taxt-e kupe	ﺗﺨﺖ ﮐﻮﭘﻪ
полка верхняя	taxt-e bālā	ﺗﺨﺖ ﺑﺎﻻ
полка нижняя	taxt-e pāyin	ﺗﺨﺖ ﭘﺎﯾﯿﻦ
постельное бельё	raxt-e xāb	رﺧﺖ ﺧﻮاب
билет	belit	ﺑﻠﯿﻂ
расписание	barnāme	ﺑﺮﻧﺎﻣﻪ
табло (расписание)	barnāme-ye zamāni	ﺑﺮﻧﺎﻣﻪ زﻣﺎﻧﯽ
отходить	tark kardan	ﺗﺮک ﮐﺮدن
отправление (поезда)	harekat	ﺣﺮﮐﺖ
прибывать	residan	رﺳﯿﺪن
прибытие	vorud	ورود
приехать поездом	bā qatār āmadan	ﺑﺎ ﻗﻄﺎر آﻣﺪن
сесть на поезд	savār-e qatār šodan	ﺳﻮار ﻗﻄﺎر ﺷﺪن
сойти с поезда	az qatār piyāde šodan	از ﻗﻄﺎر ﭘﯿﺎده ﺷﺪن
крушение	sānehe	ﺳﺎﻧﺤﻪ
сойти с рельс	az xat xārej šodan	از ﺧﻂ ﺧﺎرج ﺷﺪن
паровоз	lokomotiv-e boxar	ﻟﻮﮐﻮﻣﻮﺗﯿﻮ ﺑﺨﺎر
кочегар	ātaškār	آﺗﺸﮑﺎر
топка	ātašdān	آﺗﺸﺪان
уголь	zoqāl sang	زﻏﺎل ﺳﻨﮓ
