Russian	Pronouncing	Farsi
автобус	otobus	اﺗﻮﺑﻮس
трамвай	terāmvā	ﺗﺮاﻣﻮا
троллейбус	otobus-e barqi	اﺗﻮﺑﻮس ﺑﺮﻗﯽ
маршрут	xat	ﺧﻂ
номер (напр. автобуса)	šomāre	ﺷﻤﺎره
ехать на …	raftan bā	رﻓﺘﻦ ﺑﺎ
сесть (в автобус и т.п.)	savār šodan	ﺳﻮار ﺷﺪن
сойти (с автобуса и т.п.)	piyāde šodan	ﭘﯿﺎده ﺷﺪن
остановка (~ автобуса)	istgāh-e otobus	اﯾﺴﺘﮕﺎه اﺗﻮﺑﻮس
следующая остановка	istgāh-e baʿdi	اﯾﺴﺘﮕﺎه ﺑﻌﺪی
конечная остановка	istgāh-e āxar	اﯾﺴﺘﮕﺎه آﺧﺮ
расписание	barnāme	ﺑﺮﻧﺎﻣﻪ
ждать	montazer budan	ﻣﻨﺘﻈﺮ ﺑﻮدن
билет	belit	ﺑﻠﯿﻂ
стоимость билета	qeymat-e belit	ﻗﯿﻤﺖ ﺑﻠﯿﺖ
кассир	sanduqdār	ﺻﻨﺪوﻗﺪار
контроль (в транспорте)	kontorol-e belit	ﮐﻨﺘﺮل ﺑﻠﯿﻂ
контролёр	kontorol či	ﮐﻨﺘﺮل ﭼﯽ
опаздывать	taʾxir dāštan	ﺗـﺄﺧﯿﺮداﺷﺘﻦ
опоздать (на автобус)	az dast dādan	از دﺳﺖ دادن
спешить (торопиться)	ajale kardan	ﻋﺠﻠﻪ ﮐﺮدن
такси	tāksi	ﺗﺎﮐﺴﯽ
таксист	rānande-ye tāksi	راﻧﻨﺪه ﺗﺎﮐﺴﯽ
на такси	bā tāksi	ﺑﺎ ﺗﺎﮐﺴﯽ
стоянка такси	istgāh-e tāksi	اﯾﺴﺘﮕﺎه ﺗﺎﮐﺴﯽ
вызвать такси	tāksi gereftan	ﺗﺎﮐﺴﯽ ﮔﺮﻓﺘﻦ
взять такси	tāksi gereftan	ﺗﺎﮐﺴﯽ ﮔﺮﻓﺘﻦ
уличное движение	obur-o morur	ﻋﺒﻮر و ﻣﺮور
пробка (на дороге)	terāfik	ﺗﺮاﻓﯿﮏ
часы пик	sāʿat-e šoluqi	ﺳﺎﻋﺖ ﺷﻠﻮﻏﯽ
парковаться	pārk kardan	ﭘﺎرک ﮐﺮدن
парковать (машину)	pārk kardan	ﭘﺎرک ﮐﺮدن
стоянка (авто)	pārking	ﭘﺎرﮐﯿﻨﮓ
метро	metro	ﻣﺘﺮو
станция	istgāh	اﯾﺴﺘﮕﺎه
ехать на метро	bā metro raftan	ﺑﺎ ﻣﺘﺮو رﻓﺘﻦ
поезд	qatār	ﻗﻄﺎر
вокзал (ж/д)	istgāh-e rāh-e āhan	اﯾﺴﺘﮕﺎه راه آﻫﻦ
