Russian	Pronouncing	Farsi
город	šahr	ﺮﻬﺷ
столица	pāytaxt	ﺖﺨﺘﯾﺎﭘ
деревня	rustā	ﺎﺘﺳور
план города	naqše-ye šahr	ﺮﻬﺷ ﮥﺸﻘﻧ
центр города	markaz-e šahr	ﺮﻬﺷ ﺰﮐﺮﻣ
пригород	hume-ye šahr	ﺮﻬﺷ ﮥﻣﻮﺣ
пригородный	hume-ye šahr	ﺮﻬﺷ ﮥﻣﻮﺣ
окраина (города)	hume	ﻪﻣﻮﺣ
окрестности	hume	ﻪﻣﻮﺣ
квартал	mahalle	ﻪﻠﺤﻣ
жилой квартал	mahalle-ye maskuni	ﯽﻧﻮﮑﺴﻣ ﮥﻠﺤﻣ
уличное движение	obur-o morur	روﺮﻣ و رﻮﺒﻋ
светофор	čerāq-e rāhnamā	ﺎﻤﻨﻫار غاﺮﭼ
городской транспорт	haml-o naql-e šahri	یﺮﻬﺷ ﻞﻘﻧ و ﻞﻤﺣ
перекрёсток	čahārrāh	هاررﺎﻬﭼ
пешеходный переход	xatt-e āber-e piyāde	هدﺎﯿﭘﺮﺑﺎﻋ ﻂﺧ
подземный переход	zir-e gozar	رﺬﮔ ﺮﯾز
переходить (улицу)	obur kardan	ندﺮﮐ رﻮﺒﻋ
пешеход	piyāde	هدﺎﯿﭘ
тротуар	piyāde row	ور هدﺎﯿﭘ
мост	pol	ﻞﭘ
набережная	xiyābān-e sāheli	ﯽﻠﺣﺎﺳ نﺎﺑﺎﯿﺧ
фонтан	češme	ﻪﻤﺸﭼ
аллея	bāq rāh	هار غﺎﺑ
парк	pārk	کرﺎﭘ
бульвар	bolvār	راﻮﻟﻮﺑ
площадь	meydān	ناﺪﯿﻣ
проспект	xiyābān	نﺎﺑﺎﯿﺧ
улица	xiyābān	نﺎﺑﺎﯿﺧ
переулок	kuče	ﻪﭼﻮﮐ
тупик	bon bast	ﺖﺴﺑ ﻦﺑ
дом	xāne	ﻪﻧﺎﺧ
здание	sāxtemān	نﺎﻤﺘﺧﺎﺳ
небоскрёб	āsemānxarāš	شاﺮﺨﻧﺎﻤﺳآ
фасад	namā	ﺎﻤﻧ
крыша	bām	مﺎﺑ
окно	panjere	هﺮﺠﻨﭘ
арка	tāq-e qowsi	ﯽﺳﻮﻗ قﺎﻃ
колонна	sotun	نﻮﺘﺳ
угол (дома)	nabš	ﺶﺒﻧ
витрина	vitrin	ﻦﯾﺮﺘﯾو
вывеска	tāblo	ﻮﻠﺑﺎﺗ
афиша	poster	ﺮﺘﺳﻮﭘ
рекламный плакат	poster-e tabliqāti	ﯽﺗﺎﻐﯿﻠﺒﺗ ﺮﺘﺳﻮﭘ
рекламный щит	bilbord	درﻮﺒﻠﯿﺑ
мусор (отбросы)	āšqāl	لﺎﻐﺷآ
урна (для мусора)	satl-e āšqāl	لﺎﻐﺷآ ﻞﻄﺳ
сорить	kasif kardan	ندﺮﮐ ﻒﯿﺜﮐ
свалка	jā-ye dafn-e āšqāl	لﺎﻐﺷآ ﻦﻓد یﺎﺟ
телефонная будка	kābin-e telefon	ﻦﻔﻠﺗ ﻦﯿﺑﺎﮐ
фонарный столб	tir-e barq	قﺮﺑ ﺮﯿﺗ
скамейка	nimkat	ﺖﮑﻤﯿﻧ
полицейский(сущ.)	polis	ﺲﯿﻠﭘ
полиция	polis	ﺲﯿﻠﭘ
нищий (бродяга)	gedā	اﺪﮔ
бездомный(сущ.)	bi xānomān	نﺎﻤﻧﺎﺧ ﯽﺑ
