Russian	Pronouncing	Farsi
магазин	maqāze	هزﺎﻐﻣ
аптека	dāruxāne	ﻪﻧﺎﺧوراد
оптика	eynak foruši	ﯽﺷوﺮﻓ ﮏﻨﯿﻋ
торговый центр	markaz-e tejāri	یرﺎﺠﺗ ﺰﮐﺮﻣ
супермаркет	supermārket	ﺖﮐرﺎﻣﺮﭘﻮﺳ
булочная	nānvāyi	ﯽﯾاﻮﻧﺎﻧ
пекарь	nānvā	اﻮﻧﺎﻧ
кондитерская	qannādi	یدﺎﻨﻗ
продуктовый магазин (м)	baqqāli	ﯽﻟﺎﻘﺑ
мясная лавка	gušt foruši	ﯽﺷوﺮﻓ ﺖﺷﻮﮔ
овощная лавка	sabzi foruši	ﯽﺷوﺮﻓ یﺰﺒﺳ
рынок	bāzār	رازﺎﺑ
кофейня	kāfe	ﻪﻓﺎﮐ
ресторан	resturān	نارﻮﺘﺳر
пивная	bār	رﺎﺑ
пиццерия	pitzā-foruši	ﯽﺷوﺮﻓ اﺰﺘﯿﭘ
парикмахерская	ārāyešgāh	هﺎﮕﺸﯾارآ
почта	post	ﺖﺴﭘ
химчистка	xošk-šuyi	ﯽﯾﻮﺷﮏﺸﺧ
фотоателье	ātolye-ye akkāsi	ﯽﺳﺎﮑﻋ ﮥﯿﻠﺗآ
обувной магазин	kafš foruši	ﯽﺷوﺮﻓ ﺶﻔﮐ
книжный магазин	ketāb-foruši	ﯽﺷوﺮﻓ بﺎﺘﮐ
спортивный магазин	maqāze-ye varzeši	ﯽﺷزرو ۀزﺎﻐﻣ
ремонт одежды	taʿmir-e lebās	سﺎﺒﻟ ﺮﯿﻤﻌﺗ
прокат одежды	kerāye-ye lebās	سﺎﺒﻟ ﮥﯾاﺮﮐ
прокат фильмов	kerāye-ye film	ﻢﻠﯿﻓ ﮥﯾاﺮﮐ
цирк	sirak	کﺮﯿﺳ
зоопарк	bāq-e vahš	ﺶﺣو غﺎﺑ
кинотеатр	sinamā	ﺎﻤﻨﯿﺳ
музей	muze	هزﻮﻣ
библиотека	ketābxāne	ﻪﻧﺎﺨﺑﺎﺘﮐ
театр	teātr	ﺮﺗﺎﺌﺗ
опера	operā	اﺮﭘا
ночной клуб	kābāre	هرﺎﺑﺎﮐ
казино	kāzino	ﻮﻨﯾزﺎﮐ
мечеть	masjed	ﺪﺠﺴﻣ
синагога	kenešt	ﺖﺸﻨﮐ
собор	kelisā-ye jāmeʾ	ﻊﻣﺎﺟ یﺎﺴﯿﻠﮐ
храм	maʿbad	ﺪﺒﻌﻣ
церковь	kelisā	ﺎﺴﯿﻠﮐ
институт	anistito	ﻮﺘﯿﺘﺴﻧا
университет	dānešgāh	هﺎﮕﺸﻧاد
школа	madrese	ﻪﺳرﺪﻣ
префектура	ostāndāri	یراﺪﻧﺎﺘﺳا
мэрия	šahrdāri	یرادﺮﻬﺷ
гостиница	hotel	ﻞﺘﻫ
банк	bānk	ﮏﻧﺎﺑ
посольство	sefārat	ترﺎﻔﺳ
турагентство	āžāns-e jahāngardi	یدﺮﮕﻧﺎﻬﺟ ﺲﻧاژآ
справочное бюро	daftar-e ettelāāt	تﺎﻋﻼﻃا ﺮﺘﻓد
обменный пункт	sarrāfi	ﯽﻓاﺮﺻ
метро	metro	وﺮﺘﻣ
больница	bimārestān	نﺎﺘﺳرﺎﻤﯿﺑ
автозаправка	pomp-e benzin	ﻦﯾﺰﻨﺑ ﭗﻤﭘ
автостоянка	pārking	ﮓﻨﯿﮐرﺎﭘ
