Russian	Pronouncing	Farsi
покупать	xarid kardan	ندﺮﮐ ﺪﯾﺮﺧ
покупка (предмет)	xarid	ﺪﯾﺮﺧ
делать покупки	xarid kardan	ندﺮﮐ ﺪﯾﺮﺧ
шоппинг	xarid	ﺪﯾﺮﺧ
работать (о магазине)	bāz budan	ندﻮﺑ زﺎﺑ
быть закрытым	baste budan	ندﻮﺑ ﻪﺘﺴﺑ
обувь	kafš	ﺶﻔﮐ
одежда	lebās	سﺎﺒﻟ
косметика	lavāzem-e ārāyeši	ﯽﺸﯾارآ مزاﻮﻟ
продукты	mavādd-e qazāyi	ﯽﯾاﺬﻏ داﻮﻣ
подарок	hedye	ﻪﯾﺪﻫ
продавец	forušande	هﺪﻨﺷوﺮﻓ
продавщица	forušande-ye zan	نز هﺪﻨﺷوﺮﻓ
касса (в магазине)	sanduq	قوﺪﻨﺻ
зеркало	āyene	ﻪﻨﯾآ
прилавок	pišxān	ناﻮﺨﺸﯿﭘ
примерочная	otāq porov	وﺮﭘ قﺎﺗا
примерить	emtehān kardan	ندﺮﮐ نﺎﺤﺘﻣا
подходить (быть впору)	monāseb budan	ندﻮﺑ ﺐﺳﺎﻨﻣ
нравиться	dust dāštan	ﻦﺘﺷاد ﺖﺳود
цена	qeymat	ﺖﻤﯿﻗ
ценник (на одежде)	barčasb-e qeymat	ﺖﻤﯿﻗ ﺐﺴﭼﺮﺑ
стоить	qeymat dāštan	ﻦﺘﺷاد ﺖﻤﯿﻗ
Сколько? (о цене)	čeqadr?	؟رﺪﻘﭼ
скидка	taxfif	ﻒﯿﻔﺨﺗ
недорогой	arzān	نازرا
дешёвый	arzān	نازرا
дорогой	gerān	ناﺮﮔ
Это дорого	gerān ast	ﺖﺳا ناﺮﮔ
прокат	kerāye	ﻪﯾاﺮﮐ
взять напрокат	kerāye kardan	ندﺮﮐ ﻪﯾاﺮﮐ
кредит	vām	ماو
в кредит	xarid-e eʾtebāri	یرﺎﺒﺘﻋا ﺪﯾﺮﺧ
