Russian	Pronouncing	Farsi
рубашка	pirāhan	ﻦﻫاﺮﯿﭘ
брюки	šalvār	راﻮﻠﺷ
джинсы	jin	ﻦﯿﺟ
пиджак	kot	ﺖﮐ
костюм (мужской)	kat-o šalvār	راﻮﻠﺷ و ﺖﮐ
платье	lebās	سﺎﺒﻟ
юбка	dāman	ﻦﻣاد
блузка	boluz	زﻮﻠﺑ
кофта (шерстяная)	jeliqe-ye kešbāf	فﺎﺒﺸﮐ ﻪﻘﯿﻠﺟ
жакет	kot	ﺖﮐ
футболка	tey šarr-at	تﺮﺷ ﯽﺗ
шорты	šalvarak	کراﻮﻠﺷ
спортивный костюм	lebās-e varzeši	ﯽﺷزرو سﺎﺒﻟ
халат (махровый)	howle-ye hamām	مﺎﻤﺣ ﻪﻟﻮﺣ
пижама	pižāme	ﻪﻣاﮋﯿﭘ
свитер	poliver	رﻮﯿﻠﭘ
пуловер	poliver	رﻮﯿﻠﭘ
жилет	jeliqe	ﻪﻘﯿﻠﺟ
фрак	kat-e dāman gerd	دﺮﮔ ﻦﻣاد ﺖﮐ
смокинг	esmoking	ﮓﻨﯿﮐﻮﻤﺳا
форма (униформа)	oniform	مرﻮﻔﯿﻧوا
рабочая одежда	lebās-e kār	رﺎﮐ سﺎﺒﻟ
комбинезон	rupuš	شﻮﭘور
халат (врача)	rupuš	شﻮﭘور
