Russian	Pronouncing	Farsi
шапка	kolāh	هﻼﮐ
шляпа	šāpo	ﻮﭘﺎﺷ
бейсболка	kolāh beysbāl	لﺎﺑ ﺲﯿﺑ هﻼﮐ
кепка	kolāh-e taxt	ﺖﺨﺗ هﻼﮐ
берет	kolāh barre	هﺮﺑ هﻼﮐ
капюшон	kolāh-e bārāni	ﯽﻧارﺎﺑ هﻼﮐ
панамка	kolāh-e dowre-ye boland	ﺪﻨﻠﺑ هرود هﻼﮐ
вязаная шапочка	kolāh-e bāftani	ﯽﻨﺘﻓﺎﺑ هﻼﮐ
платок (головной)	rusari	یﺮﺳور
шляпка (женская)	kolāh-e zanāne	ﻪﻧﺎﻧز هﻼﮐ
каска	kolāh-e imeni	ﯽﻨﻤﯾا هﻼﮐ
пилотка (воен.)	kolāh-e pādegān	نﺎﮔدﺎﭘ هﻼﮐ
шлем	kolāh-e imeni	ﯽﻨﻤﯾا هﻼﮐ
котелок (шляпа)	kolāh-e namadi	یﺪﻤﻧ هﻼﮐ
цилиндр	kolāh-e ostovānei	یا ﻪﻧاﻮﺘﺳا هﻼﮐ
