Russian	Pronouncing	Farsi
перчатки	dastkeš	ﺶﮑﺘﺳد
варежки	dastkeš-e yek angošti	ﯽﺘﺸﮕﻧا ﮏﯾ ﺶﮑﺘﺳد
шарф	šāl-e gardan	ندﺮﮔ لﺎﺷ
очки	eynak	ﮏﻨﯿﻋ
оправа	qāb	بﺎﻗ
зонт	čatr	ﺮﺘﭼ
трость	asā	ﺎﺼﻋ
щётка для волос	bores-e mu	ﻮﻣ سﺮﺑ
веер	bādbezan	نﺰﺑدﺎﺑ
галстук	kerāvāt	تاواﺮﮐ
галстук-бабочка	pāpiyon	نﻮﯿﭘﺎﭘ
подтяжки	band šalvār	راﻮﻠﺷ ﺪﻨﺑ
носовой платок	dastmāl	لﺎﻤﺘﺳد
расчёска	šāne	ﻪﻧﺎﺷ
заколка	sanjāq-e mu	ﻮﻣ قﺎﺠﻨﺳ
шпилька	sanjāq-e mu	ﻮﻣ قﺎﺠﻨﺳ
пряжка	sagak	ﮏﮕﺳ
пояс (ремень)	kamarband	ﺪﻨﺑﺮﻤﮐ
ремень (сумки)	tasme	ﻪﻤﺴﺗ
сумка	keyf	ﻒﯿﮐ
сумочка (женская)	keyf-e zanāne	ﻪﻧﺎﻧز ﻒﯿﮐ
рюкзак	kule pošti	ﯽﺘﺸﭘ ﮥﻟﻮﮐ
