Russian	Pronouncing	Farsi
мода	mod	ﺪﻣ
модный	mod	ﺪﻣ
модельер	tarrāh-e lebas	سﺎﺒﻟ حاﺮﻃ
воротник	yaqe	ﻪﻘﯾ
карман	jib	ﺐﯿﺟ
карманный	jibi	ﯽﺒﯿﺟ
рукав	āstin	ﻦﯿﺘﺳآ
вешалка (петля)	band-e āviz	ﺰﯾوآ ﺪﻨﺑ
ширинка	zip	ﭗﯾز
молния (застежка)	zip	ﭗﯾز
застёжка	sagak	ﮏﮕﺳ
пуговица	dokme	ﻪﻤﮐد
петля (для пуговицы)	surāx-e dokme	ﻪﻤﮐد خارﻮﺳ
оторваться (о пуговице)	kande šodan	نﺪﺷ هﺪﻨﮐ
шить	duxtan	ﻦﺘﺧود
вышивать	golduzi kardan	ندﺮﮐ یزوﺪﻠﮔ
вышивка	golduzi	یزوﺪﻠﮔ
игла (для шитья)	suzan	نزﻮﺳ
нитка	nax	ﺦﻧ
шов (швейный)	darz	زرد
испачкаться	kasif šodan	نﺪﺷ ﻒﯿﺜﮐ
пятно	lakke	ﻪﮑﻟ
помяться (об одежде)	čoruk šodan	نﺪﺷ کوﺮﭼ
порвать (испортить)	pāre kardan	ندﺮﮐ هرﺎﭘ
моль	šab parre	هﺮﭘ ﺐﺷ
