Russian	Pronouncing	Farsi
деньги	pul	لﻮﭘ
обмен	tabdil-e arz	زرا ﻞﯾﺪﺒﺗ
курс (валют)	nerx-e arz	زرا خﺮﻧ
банкомат	xodpardāz	زادﺮﭘدﻮﺧ
монета	sekke	ﻪﮑﺳ
доллар	dolār	رﻻد
евро	yuro	ورﻮﯾ
итальянская лира	lire	هﺮﯿﻟ
немецкая марка	mārk	کرﺎﻣ
франк	farānak	ﮏﻧاﺮﻓ
фунт стерлингов	pond-e esterling	ﮓﻨﯿﻟﺮﺘﺳا ﺪﻧﻮﭘ
йена	yen	ﻦﯾ
долг	qarz	ضﺮﻗ
должник	bedehkār	رﺎﮑﻫﺪﺑ
дать в долг	qarz dādan	نداد ضﺮﻗ
взять в долг	qarz gereftan	ﻦﺘﻓﺮﮔ ضﺮﻗ
банк	bānk	ﮏﻧﺎﺑ
счёт (в банке)	hesāb-e bānki	ﯽﮑﻧﺎﺑ بﺎﺴﺣ
положить (на счёт)	rixtan	ﻦﺘﺨﯾر
положить на счёт	be hesāb rixtan	ﻦﺘﺨﯾر بﺎﺴﺣ ﻪﺑ
снять со счёта	az hesāb bardāštan	ﻦﺘﺷادﺮﺑ بﺎﺴﺣ زا
кредитная карта	kārt-e eʿtebāri	یرﺎﺒﺘﻋا ترﺎﮐ
наличные деньги	pul-e naqd	ﺪﻘﻧ لﻮﭘ
чек	ček	ﮏﭼ
выписать чек	ček neveštan	ﻦﺘﺷﻮﻧ ﮏﭼ
чековая книжка	daste-ye ček	ﮏﭼ ﻪﺘﺳد
бумажник	kif-e pul	لﻮﭘ ﻒﯿﮐ
кошелёк	kif-e pul	لﻮﭘ ﻒﯿﮐ
сейф	gāvsanduq	قوﺪﻨﺻوﺎﮔ
наследник	vāres	ثراو
наследство	mirās	ثاﺮﯿﻣ
состояние	dārāyi	ﯽﯾاراد
аренда	ejāre	هرﺎﺟا
квартирная плата	kerāye-ye xāne	ﻪﻧﺎﺧ ﮥﯾاﺮﮐ
снимать (~ квартиру)	ejāre kardan	ندﺮﮐ هرﺎﺟا
цена	qeymat	ﺖﻤﯿﻗ
стоимость	arzeš	شزرا
сумма	jamʿ-e kol	ﻞﮐ ﻊﻤﺟ
тратить, расходовать	xarj kardan	ندﺮﮐ جﺮﺧ
расходы	maxārej	جرﺎﺨﻣ
экономить	sarfeju-yi kardan	ندﺮﮐ ﯽﯾﻮﺟ ﻪﻓﺮﺻ
экономный	maqrun besarfe	ﻪﻓﺮﺻ ﻪﺑ نوﺮﻘﻣ
платить	pardāxtan	ﻦﺘﺧادﺮﭘ
оплата	pardāxt	ﺖﺧادﺮﭘ
сдача (деньги)	pul-e xerad	دﺮﺧ لﻮﭘ
налог	māliyāt	تﺎﯿﻟﺎﻣ
штраф	jarime	ﻪﻤﯾﺮﺟ
штрафовать	jarime kardan	ندﺮﮐ ﻪﻤﯾﺮﺟ
