Russian	Pronouncing	Farsi
почта (учреждение)	post	ﺖﺴﭘ
почта (письма и т.п.)	post	ﺖﺴﭘ
почтальон	nāme resān	نﺎﺳر ﻪﻣﺎﻧ
часы работы	sāʿathā-ye kāri	یرﺎﮐ یﺎﻫ ﺖﻋﺎﺳ
письмо	nāme	ﻪﻣﺎﻧ
заказное письмо	nāme-ye sefāreši	ﯽﺷرﺎﻔﺳ ﻪﻣﺎﻧ
открытка	kārt-e postāl	لﺎﺘﺴﭘ ترﺎﮐ
телеграмма	telegrām	ماﺮﮕﻠﺗ
посылка	baste posti	ﯽﺘﺴﭘ ﻪﺘﺴﺑ
денежный перевод	havāle	ﻪﻟاﻮﺣ
получить	gereftan	ﻦﺘﻓﺮﮔ
отправить	ferestādan	ندﺎﺘﺳﺮﻓ
отправка (письма)	ersāl	لﺎﺳرا
адрес	nešāni	ﯽﻧﺎﺸﻧ
индекс	kod-e posti	ﯽﺘﺴﭘ ﺪﮐ
отправитель	ferestande	هﺪﻨﺘﺳﺮﻓ
получатель	girande	هﺪﻧﺮﯿﮔ
имя	esm	ﻢﺳا
фамилия	nām-e xānevādegi	ﯽﮔداﻮﻧﺎﺧ مﺎﻧ
тариф	taʿrefe	ﻪﻓﺮﻌﺗ
обычный	ādi	یدﺎﻋ
экономичный	ādi	یدﺎﻋ
вес	vazn	نزو
взвешивать	vazn kardan	ندﺮﮐ نزو
конверт	pākat	ﺖﮐﺎﭘ
марка	tambr	ﺮﺒﻤﺗ
наклеивать марку	tamr zadan	ندز ﺮﺒﻤﺗ
