Russian	Pronouncing	Farsi
банк	bānk	ﮏﻧﺎﺑ
отделение	šoʿbe	ﻪﺒﻌﺷ
консультант	mošāver	روﺎﺸﻣ
управляющий	modir	ﺮﯾﺪﻣ
счёт (в банке)	hesāb-e bānki	ﯽﮑﻧﺎﺑ بﺎﺴﺣ
номер счёта	šomāre-ye hesāb	بﺎﺴﺣ ۀرﺎﻤﺷ
текущий счёт	hesāb-e jāri	یرﺎﺟ بﺎﺴﺣ
накопительный счёт	hesāb-e pasandāz	زاﺪﻧا ﺲﭘ بﺎﺴﺣ
открыть счёт	hesāb-e bāz kardan	ندﺮﮐ زﺎﺑ بﺎﺴﺣ
закрыть счёт	hesāb rā bastan	ﻦﺘﺴﺑ ار بﺎﺴﺣ
положить на счёт	be hesāb rixtan	ﻦﺘﺨﯾر بﺎﺴﺣ ﻪﺑ
снять со счёта	az hesāb bardāštan	ﻦﺘﺷادﺮﺑ بﺎﺴﺣ زا
вклад	seporde	هدﺮﭙﺳ
сделать вклад	seporde gozāštan	ﻦﺘﺷاﺬﮔ هدﺮﭙﺳ
перевод	enteqāl	لﺎﻘﺘﻧا
сделать перевод	enteqāl dādan	نداد لﺎﻘﺘﻧا
сумма	jamʿ-e kol	ﻞﮐ ﻊﻤﺟ
Сколько? (о деньгах)	čeqadr?	؟رﺪﻘﭼ
подпись	emzāʾ	ءﺎﻀﻣا
подписать	emzā kardan	ندﺮﮐ ﺎﻀﻣا
кредитная карта	kārt-e eʿtebāri	یرﺎﺒﺘﻋا ترﺎﮐ
код	kod	ﺪﮐ
номер кредитной карты	šomāre-ye kārt-e eʿtebāri	یرﺎﺒﺘﻋا ترﺎﮐ هرﺎﻤﺷ
банкомат	xodpardāz	زادﺮﭘدﻮﺧ
чек	ček	ﮏﭼ
выписать чек	ček neveštan	ﻦﺘﺷﻮﻧ ﮏﭼ
чековая книжка	daste-ye ček	ﮏﭼ ﻪﺘﺳد
кредит (займ)	eʿtebār	رﺎﺒﺘﻋا
обращаться за кредитом	darxāst-e vam kardan	ندﺮﮐ ماو ﺖﺳاﻮﺧرد
брать кредит	vām gereftan	ﻦﺘﻓﺮﮔ ماو
предоставлять кредит	vām dādan	نداد ماو
гарантия (залог)	zemānat	ﺖﻧﺎﻤﺿ
