Russian	Pronouncing	Farsi
телефон	telefon	ﺗﻠﻔﻦ
мобильный телефон	telefon-e hamrāh	ﺗﻠﻔﻦ ﻫﻤﺮاه
автоответчик	monši-ye telefoni	ﻣﻨﺸﯽ ﺗﻠﻔﻨﯽ
звонить (по телефону)	telefon zadan	ﺗﻠﻔﻦ زدن
звонок (по телефону)	tamās-e telefoni	ﺗﻤﺎس ﺗﻠﻔﻨﯽ
набрать номер	šomāre gereftan	ﺷﻤﺎره ﮔﺮﻓﺘﻦ
Алло!	alo!	اﻟﻮ!
спросить	porsidan	ﭘﺮﺳﯿﺪن
ответить	javāb dādan	ﺟﻮاب دادن
слышать	šenidan	ﺷﻨﯿﺪن
хорошо	xub	ﺧﻮب
плохо	bad	ﺑﺪ
помехи	sedā	ﺻﺪا
трубка (телефонная)	guši	ﮔﻮﺷﯽ
снять трубку	guši rā bar dāštan	ﮔﻮﺷﯽ را ﺑﺮداﺷﺘﻦ
положить трубку	guši rā gozāštan	ﮔﻮﺷﯽ را ﮔﺬاﺷﺘﻦ
занятый (о линии)	mašqul	ﻣﺸﻐﻮل
звонить (о телефоне)	zang zadan	زﻧﮓ زدن
телефонная книга	daftar-e telefon	دﻓﺘﺮ ﺗﻠﻔﻦ
местный (звонок)	mahalli	ﻣﺤﻠﯽ
местный звонок	telefon-e dāxeli	ﺗﻠﻔﻦ داﺧﻠﯽ
междугородний	beyn-e šahri	ﺑﯿﻦ ﺷﻬﺮی
междугородний звонок	telefon-e beyn-e šahri	ﺗﻠﻔﻦ ﺑﯿﻦ ﺷﻬﺮی
международный	beynolmelali	ﺑﯿﻦ اﻟﻤﻠﻠﯽ
международный звонок	telefon-e beynolmelali	ﺗﻠﻔﻦ ﺑﯿﻦ اﻟﻤﻠﻠﯽ
