Russian	Pronouncing	Farsi
мобильный телефон	telefon-e hamrāh	هاﺮﻤﻫ ﻦﻔﻠﺗ
дисплей	namāyešgar	ﺮﮕﺸﯾﺎﻤﻧ
кнопка	dokme	ﻪﻤﮐد
SIM-карта	sim-e kārt	ترﺎﮐ ﻢﯿﺳ
батарея	bātri	یﺮﻃﺎﺑ
разрядиться	tamām šodan bātri	یﺮﺗﺎﺑ نﺪﺷ مﺎﻤﺗ
зарядное устройство	šāržer	ژرﺎﺷ
меню	meno	ﻮﻨﻣ
настройки	tanzimāt	تﺎﻤﯿﻈﻨﺗ
мелодия	āhang	ﮓﻨﻫآ
выбрать	entexāb kardan	ندﺮﮐ بﺎﺨﺘﻧا
калькулятор	māšin-e hesāb	بﺎﺴﺣ ﻦﯿﺷﺎﻣ
голосовая почта	monši-ye telefoni	ﯽﻨﻔﻠﺗ ﯽﺸﻨﻣ
будильник	sāʿat-e zang dār	راد ﮓﻧز ﺖﻋﺎﺳ
телефонная книга	daftar-e telefon	ﻦﻔﻠﺗ ﺮﺘﻓد
SMS-сообщение	payāmak	ﮏﻣﺎﯿﭘ
абонент	moštarek	کﺮﺘﺸﻣ
