Russian	Pronouncing	Farsi
язык (напр. русский)	zabān	نﺎﺑز
иностранный	xāreji	ﯽﺟرﺎﺧ
иностранный язык	zabān-e xāreji	ﯽﺟرﺎﺧ نﺎﺑز
изучать	dars xāndan	نﺪﻧاﻮﺧ سرد
учить (иностр. язык)	yād gereftan	ﻦﺘﻓﺮﮔ دﺎﯾ
читать	xāndan	نﺪﻧاﻮﺧ
говорить	harf zadan	ندز فﺮﺣ
понимать	fahmidan	نﺪﯿﻤﻬﻓ
писать	neveštan	ﻦﺘﺷﻮﻧ
быстро	sariʿ	ﻊﯾﺮﺳ
медленно	āheste	ﻪﺘﺴﻫآ
свободно	ravān	ناور
правила	qavāʿed	ﺪﻋاﻮﻗ
грамматика	gerāmer	ﺮﻣاﺮﮔ
лексика	vājegān	نﺎﮔژاو
фонетика	āvā-šenāsi	ﯽﺳﺎﻨﺷاوآ
учебник	ketāb-e darsi	ﯽﺳرد بﺎﺘﮐ
словарь	farhang-e loqat	ﺖﻐﻟ ﮓﻨﻫﺮﻓ
самоучитель	xod-āmuz	زﻮﻣآدﻮﺧ
разговорник	ketāb-e mokāleme	ﻪﻤﻟﺎﮑﻣ بﺎﺘﮐ
кассета	kāst	ﺖﺳﺎﮐ
видеокассета	kāst-e video	ﻮﺋﺪﯾو ﺖﺳﺎﮐ
CD, компакт-диск	si-di	یﺪﯿﺳ
DVD-диск	dey vey dey	ید یو ید
алфавит	alefbā	ﺎﺒﻔﻟا
говорить по буквам	heji kardan	ندﺮﮐ ﯽﺠﻫ
произношение	talaffoz	ﻆﻔﻠﺗ
акцент	lahje	ﻪﺠﻬﻟ
с акцентом	bā lahje	ﻪﺠﻬﻟ ﺎﺑ
без акцента	bi lahje	ﻪﺠﻬﻟ ﯽﺑ
слово (единица речи)	kalame	ﻪﻤﻠﮐ
смысл (напр. слова)	maʿni	ﯽﻨﻌﻣ
курсы	dowre	هرود
записаться (на курсы)	nām-nevisi kardan	ندﺮﮐ ﯽﺴﯾﻮﻧ مﺎﻧ
преподаватель	ostād	دﺎﺘﺳا
перевод (процесс)	tarjome	ﻪﻤﺟﺮﺗ
перевод (текст)	tarjome	ﻪﻤﺟﺮﺗ
переводчик	motarjem	ﻢﺟﺮﺘﻣ
переводчик (устный)	motarjem-e šafāhi	ﯽﻫﺎﻔﺷ ﻢﺟﺮﺘﻣ
полиглот	čand zabāni	ﯽﻧﺎﺑز ﺪﻨﭼ
память	hāfeze	ﻪﻈﻓﺎﺣ
