Russian	Pronouncing	Farsi
ресторан	resturān	نارﻮﺘﺳر
кофейня	kāfe	ﻪﻓﺎﮐ
бар	bār	رﺎﺑ
чайный салон	qahve xāne	ﻪﻧﺎﺧ هﻮﻬﻗ
официант	pišxedmat	ﺖﻣﺪﺨﺸﯿﭘ
официантка	pišxedmat	ﺖﻣﺪﺨﺸﯿﭘ
бармен	motesaddi-ye bār	رﺎﺑ یﺪﺼﺘﻣ
меню	meno	ﻮﻨﻣ
карта вин	kārt-e šarāb	باﺮﺷ ترﺎﮐ
забронировать столик	miz rezerv kardan	ندﺮﮐ ورزر ﺰﯿﻣ
блюдо (кушанье)	qazā	اﺬﻏ
заказать (блюдо)	sefāreš dādan	نداد شرﺎﻔﺳ
сделать заказ	sefāreš dādan	نداد شرﺎﻔﺳ
аперитив	mašrub-e piš qazā	اﺬﻏ ﺶﯿﭘ بوﺮﺸﻣ
закуска	piš qazā	اﺬﻏ ﺶﯿﭘ
десерт	deser	ﺮﺳد
счёт	surat hesāb	بﺎﺴﺣ ترﻮﺻ
оплатить счёт	surat-e hesāb rā pardāxtan	ﻦﺘﺧادﺮﭘ ار بﺎﺴﺣ ترﻮﺻ
дать сдачу	baqiye rā dādan	نداد ار ﻪﯿﻘﺑ
чаевые	anʿām	مﺎﻌﻧا
