Russian	Pronouncing	Farsi
блюдо	qazā	اﺬﻏ
кухня (национальная)	qazā	اﺬﻏ
рецепт (кулинарн.)	dastur-e poxt	ﺖﺨﭘ رﻮﺘﺳد
порция	pors	سﺮﭘ
салат	sālād	دﻻﺎﺳ
суп	sup	پﻮﺳ
бульон	pāye-ye sup	پﻮﺳ ﻪﯾﺎﭘ
бутерброд	sāndevič	ﭻﯾوﺪﻧﺎﺳ
яичница	nimru	وﺮﻤﯿﻧ
гамбургер	hamberger	ﺮﮔﺮﺒﻤﻫ
бифштекс	esteyk	ﮏﯿﺘﺳا
гарнир	moxallafāt	تﺎﻔﻠﺨﻣ
спагетти	espāgeti	ﯽﺘﮔﺎﭙﺳا
картофельное пюре	pure-ye sibi zamini	ﯽﻨﯿﻣز ﺐﯿﺳ ۀرﻮﭘ
пицца	pitzā	اﺰﺘﯿﭘ
каша	šurbā	ﺎﺑرﻮﺷ
омлет	ommol-at	ﺖﻠﻣا
варёный	āb paz	ﺰﭘ بآ
копчёный	dudi	یدود
жареный (на сковороде)	sorx šode	هﺪﺷ خﺮﺳ
сушёный	xošk	ﮏﺸﺧ
замороженный	yax zade	هدز ﺦﯾ
маринованный	torši	ﯽﺷﺮﺗ
сладкий (о чае, кофе)	širin	ﻦﯾﺮﯿﺷ
солёный	šur	رﻮﺷ
холодный	sard	دﺮﺳ
горячий	dāq	غاد
горький	talx	ﺦﻠﺗ
вкусный	xoš mazze	هﺰﻣ شﻮﺧ
варить (готовить)	poxtan	ﻦﺘﺨﭘ
готовить (ужин)	poxtan	ﻦﺘﺨﭘ
жарить	sorx kardan	ندﺮﮐ خﺮﺳ
разогревать	garm kardan	ندﺮﮐ مﺮﮔ
солить	namak zadan	ندز ﮏﻤﻧ
перчить	felfel pāšidan	نﺪﯿﺷﺎﭘ ﻞﻔﻠﻓ
тереть (на тёрке)	rande kardan	ندﺮﮐ هﺪﻧر
кожура	pust	ﺖﺳﻮﭘ
чистить (картошку и т.п.)	pust kandan	نﺪﻨﮐ ﺖﺳﻮﭘ
