Russian	Pronouncing	Farsi
мясо	gušt	ﮔﻮﺷﺖ
курица	morq	ﻣﺮغ
цыплёнок	juje	ﺟﻮﺟﻪ
утка	ordak	اردک
гусь	qāz	ﻏﺎز
дичь	gušt-e šekār	ﮔﻮﺷﺖ ﺷﮑﺎر
индейка	gušt-e buqalamun	ﮔﻮﺷﺖ ﺑﻮﻗﻠﻤﻮن
свинина	gušt-e xuk	ﮔﻮﺷﺖ ﺧﻮک
телятина	gušt-e gusāle	ﮔﻮﺷﺖ ﮔﻮﺳﺎﻟﻪ
баранина	gušt-e gusfand	ﮔﻮﺷﺖ ﮔﻮﺳﻔﻨﺪ
говядина	gušt-e gāv	ﮔﻮﺷﺖ ﮔﺎو
кролик	xarguš	ﺧﺮﮔﻮش
колбаса	kālbās	ﮐﺎﻟﺒﺎس
сосиска	sosis	ﺳﻮﺳﯿﺲ
бекон	beykon	ﺑﯿﮑﻦ
ветчина	žāmbon	ژاﻣﺒﻮن
окорок	rān xuk	ران ﺧﻮک
паштет	pāte	ﭘﺎﺗﻪ
печень	jegar	ﺟﮕﺮ
фарш	hamberger	ﻫﻤﺒﺮﮔﺮ
язык	zabān	زﺑﺎن
яйцо	toxm-e morq	ﺗﺨﻢ ﻣﺮغ
яйца	toxm-e morq-ha	ﺗﺨﻢ ﻣﺮغ ﻫﺎ
белок	sefide-ye toxm-e morq	ﺳﻔﯿﺪه ﺗﺨﻢ ﻣﺮغ
желток	zarde-ye toxm-e morq	زرده ﺗﺨﻢ ﻣﺮغ
рыба	māhi	ﻣﺎﻫﯽ
морепродукты	qazā-ye daryāyi	ﻏﺬای درﯾﺎﯾﯽ
ракообразные	saxtpustān	ﺳﺨﺘﭙﻮﺳﺘﺎن
икра	xāviār	ﺧﺎوﯾﺎر
краб	xarčang	ﺧﺮﭼﻨﮓ
креветка	meygu	ﻣﯿﮕﻮ
устрица	sadaf-e xorāki	ﺻﺪف ﺧﻮراﮐﯽ
лангуст	xarčang-e xārdār	ﺧﺮﭼﻨﮓ ﺧﺎردار
осьминог	hašt pā	ﻫﺸﺖ ﭘﺎ
кальмар	māhi-ye morakkab	ﻣﺎﻫﯽ ﻣﺮﮐﺐ
осетрина	māhi-ye xāviār	ﻣﺎﻫﯽ ﺧﺎوﯾﺎر
лосось	māhi-ye salemon	ﻣﺎﻫﯽ ﺳﺎﻟﻤﻮن
палтус	halibut	ﻫﺎﻟﯿﺒﻮت
треска	māhi-ye rowqan	ﻣﺎﻫﯽ روﻏﻦ
скумбрия	māhi-ye esqumeri	ﻣﺎﻫﯽ اﺳﻘﻮﻣﺮی
тунец	tan māhi	ﺗﻦ ﻣﺎﻫﯽ
угорь	mārmāhi	ﻣﺎرﻣﺎﻫﯽ
форель	māhi-ye qezelālā	ﻣﺎﻫﯽ ﻗﺰل آﻻ
сардина	sārdin	ﺳﺎردﯾﻦ
щука	ordak māhi	اردک ﻣﺎﻫﯽ
сельдь	māhi-ye šur	ﻣﺎﻫﯽ ﺷﻮر
хлеб	nān	ﻧﺎن
сыр	panir	ﭘﻨﯿﺮ
сахар	qand	ﻗﻨﺪ
соль	namak	ﻧﻤﮏ
рис	berenj	ﺑﺮﻧﺞ
макароны	mākāroni	ﻣﺎﮐﺎروﻧﯽ
лапша	rešte-ye farangi	رﺷﺘﻪ ﻓﺮﻧﮕﯽ
сливочное масло	kare	ﮐﺮه
масло растительное	rowqan-e nabāti	روﻏﻦ ﻧﺒﺎﺗﯽ
подсолнечное масло	rowqan āftābgardān	روﻏﻦ آﻓﺘﺎب ﮔﺮدان
маргарин	mārgārin	ﻣﺎرﮔﺎرﯾﻦ
оливки	zeytun	زﯾﺘﻮن
масло оливковое	rowqan-e zeytun	روﻏﻦ زﯾﺘﻮن
молоко	šir	ﺷﯿﺮ
сгущённое молоко	šir-e čegāl	ﺷﯿﺮ ﭼﮕﺎل
йогурт	mās-at	ﻣﺎﺳﺖ
сметана	xāme-ye torš	ﺧﺎﻣﮥ ﺗﺮش
сливки	saršir	ﺳﺮﺷﯿﺮ
майонез	māyonez	ﻣﺎﯾﻮﻧﺰ
крем	xāme	ﺧﺎﻣﻪ
крупа	hobubāt	ﺣﺒﻮﺑﺎت
мука	ārd	آرد
консервы	konserv-hā	ﮐﻨﺴﺮو ﻫﺎ
кукурузные хлопья	bereštuk	ﺑﺮﺷﺘﻮک
мёд	asal	ﻋﺴﻞ
джем, конфитюр	morabbā	ﻣﺮﺑﺎ
жевательная резинка	ādāms	آداﻣﺲ
