Russian	Pronouncing	Farsi
овощи	sabzijāt	تﺎﺠﯾﺰﺒﺳ
зелень	sabzi	یﺰﺒﺳ
помидор	gowje farangi	ﯽﮕﻧﺮﻓ ﻪﺟﻮﮔ
огурец	xiyār	رﺎﯿﺧ
морковь	havij	ﺞﯾﻮﻫ
картофель	sib zamini	ﯽﻨﯿﻣز ﺐﯿﺳ
лук (луковица)	piyāz	زﺎﯿﭘ
чеснок	sir	ﺮﯿﺳ
капуста	kalam	ﻢﻠﮐ
цветная капуста	gol kalam	ﻢﻠﮐ ﻞﮔ
брюссельская капуста	koll-am boruksel	ﻞﺴﮐوﺮﺑ ﻢﻠﮐ
капуста брокколи	kalam borokli	ﯽﻠﮐوﺮﺑ ﻢﻠﮐ
свёкла	čoqondar	رﺪﻨﻐﭼ
баклажан	bādenjān	نﺎﺠﻧدﺎﺑ
кабачок	kadu sabz	ﺰﺒﺳ وﺪﮐ
тыква	kadu tanbal	ﻞﺒﻨﺗ وﺪﮐ
репа	šalqam	ﻢﻐﻠﺷ
петрушка	jaʿfari	یﺮﻔﻌﺟ
укроп	šavid	ﺪﯾﻮﺷ
салат (латук)	kāhu	ﻮﻫﺎﮐ
сельдерей	karafs	ﺲﻓﺮﮐ
спаржа	mārčube	ﻪﺑﻮﭼرﺎﻣ
шпинат	esfenāj	جﺎﻨﻔﺳا
горох	noxod	دﻮﺨﻧ
бобы	lubiyā	ﺎﯿﺑﻮﻟ
кукуруза	zorrat	ترذ
фасоль	lubiyā qermez	ﺰﻣﺮﻗ ﺎﯿﺑﻮﻟ
перец	felfel	ﻞﻔﻠﻓ
редис	torobče	ﻪﭽﺑﺮﺗ
артишок	kangar farangi	ﯽﮕﻧﺮﻓﺮﮕﻨﮐ
