Russian	Pronouncing	Farsi
фрукт	mive	هﻮﯿﻣ
яблоко	sib	ﺐﯿﺳ
груша	golābi	ﯽﺑﻼﮔ
лимон	limu	ﻮﻤﯿﻟ
апельсин	porteqāl	لﺎﻘﺗﺮﭘ
клубника	tut-e farangi	ﯽﮕﻧﺮﻓ تﻮﺗ
мандарин	nārengi	ﯽﮕﻧرﺎﻧ
слива	ālu	ﻮﻟآ
персик	holu	ﻮﻠﻫ
абрикос	zardālu	ﻮﻟآدرز
малина	tamešk	ﮏﺸﻤﺗ
ананас	ānānās	سﺎﻧﺎﻧآ
банан	mowz	زﻮﻣ
арбуз	hendevāne	ﻪﻧاوﺪﻨﻫ
виноград	angur	رﻮﮕﻧا
вишня	ālbālu	ﻮﻟﺎﺒﻟآ
черешня	gilās	سﻼﯿﮔ
дыня	xarboze	هﺰﺑﺮﺧ
грейпфрут	gerip forut	تورﻮﻓ ﭗﯾﺮﮔ
авокадо	āvokādo	ودﺎﮐووا
папайя	pāpāyā	ﺎﯾﺎﭘﺎﭘ
манго	anbe	ﻪﺒﻧا
гранат	anār	رﺎﻧا
красная смородина	angur-e farangi-ye sorx	خﺮﺳ ﯽﮕﻧﺮﻓ رﻮﮕﻧا
чёрная смородина	angur-e farangi-ye siyāh	هﺎﯿﺳ ﯽﮕﻧﺮﻓ رﻮﮕﻧا
крыжовник	angur-e farangi	ﯽﮕﻧﺮﻓ رﻮﮕﻧا
черника	zoqāl axte	ﻪﺘﺧا لﺎﻏز
ежевика	šāh tut	تﻮﺗ هﺎﺷ
изюм	kešmeš	ﺶﻤﺸﮐ
инжир	anjir	ﺮﯿﺠﻧا
финик	xormā	ﺎﻣﺮﺧ
арахис	bādām zamin-i	ﻰﻨﯿﻣز مادﺎﺑ
миндаль	bādām	مادﺎﺑ
орех (грецкий)	gerdu	ودﺮﮔ
орех (лесной)	fandoq	قﺪﻨﻓ
орех кокосовый	nārgil	ﻞﯿﮔرﺎﻧ
фисташки	peste	ﻪﺘﺴﭘ
