Russian	Pronouncing	Farsi
соль	namak	ﮏﻤﻧ
солёный	šur	رﻮﺷ
солить	namak zadan	ندز ﮏﻤﻧ
чёрный перец	felfel-e siyāh	هﺎﯿﺳ ﻞﻔﻠﻓ
красный перец	felfel-e sorx	خﺮﺳ ﻞﻔﻠﻓ
горчица	xardal	لدﺮﺧ
хрен	torob-e kuhi	ﯽﻫﻮﮐ بﺮﺗ
приправа	adviye	ﻪﯾودا
пряность	adviye	ﻪﯾودا
соус	ses	ﺲﺳ
уксус	serke	ﻪﮐﺮﺳ
анис	rāziyāne	ﻪﻧﺎﯾزار
базилик	reyhān	نﺎﺤﯾر
гвоздика	mixak	ﮏﺨﯿﻣ
имбирь	zanjefil	ﻞﯿﻔﺠﻧز
кориандр	gešniz	ﺰﯿﻨﺸﮔ
корица	dārčin	ﻦﯿﭼراد
кунжут	konjed	ﺪﺠﻨﮐ
лавровый лист	barg-e bu	ﻮﺑ گﺮﺑ
паприка	paprika	ﺎﮑﯾﺮﭘﺎﭘ
тмин	zire	هﺮﯾز
шафран	zaʿferān	ناﺮﻔﻋز
