Russian	Pronouncing	Farsi
мать	mādar	ردﺎﻣ
отец	pedar	رﺪﭘ
сын	pesar	ﺮﺴﭘ
дочь	doxtar	ﺮﺘﺧد
младшая дочь	doxtar-e kučak	ﮏﭼﻮﮐ ﺮﺘﺧد
младший сын	pesar-e kučak	ﮏﭼﻮﮐ ﺮﺴﭘ
старшая дочь	doxtar-e bozorg	گرﺰﺑ ﺮﺘﺧد
старший сын	pesar-e bozorg	گرﺰﺑ ﺮﺴﭘ
брат	barādar	رداﺮﺑ
брат (старший)	barādar-e bozorg	گرﺰﺑ رداﺮﺑ
брат (младший)	barādar-e kučak	ﮏﭼﻮﮐ رداﺮﺑ
сестра	xāhar	ﺮﻫاﻮﺧ
сестра (старшая)	xāhar-e bozorg	گرﺰﺑ ﺮﻫاﻮﺧ
сестра (младшая)	xāhar-e kučak	ﮏﭼﻮﮐ ﺮﻫاﻮﺧ
двоюродный брат	pesar ʿamu	ﻮﻤﻋ ﺮﺴﭘ
двоюродная сестра	doxtar amu	ﻮﻤﻋﺮﺘﺧد
мама	māmān	نﺎﻣﺎﻣ
папа	bābā	ﺎﺑﺎﺑ
родители	vāledeyn	ﻦﯾﺪﻟاو
ребёнок	kudak	کدﻮﮐ
дети	bače-hā	ﺎﻫ ﻪﭽﺑ
бабушка	mādarbozorg	گرﺰﺑردﺎﻣ
дедушка	pedar-bozorg	گرﺰﺑرﺪﭘ
внук	nave	هﻮﻧ
внучка	nave	هﻮﻧ
внуки	nave-hā	ﺎﻫ هﻮﻧ
дядя	amu	ﻮﻤﻋ
тётя	xāle yā amme	ﻪﻤﻋ ﺎﯾ ﻪﻟﺎﺧ
племянник	barādar-zāde	هدازرداﺮﺑ
племянница	xāhar-zāde	هدازﺮﻫاﻮﺧ
тёща	mādarzan	نزردﺎﻣ
свёкор	pedar-šowhar	ﺮﻫﻮﺷرﺪﭘ
зять	dāmād	دﺎﻣاد
мачеха	nāmādari	یردﺎﻣﺎﻧ
отчим	nāpedari	یرﺪﭘﺎﻧ
грудной ребёнок	nowzād	دازﻮﻧ
младенец	širxār	راﻮﺧﺮﯿﺷ
малыш	pesar-e kučulu	ﻮﻟﻮﭼﻮﮐ ﺮﺴﭘ
жена	zan	نز
муж	šowhar	ﺮﻫﻮﺷ
супруг	hamsar	ﺮﺴﻤﻫ
супруга	hamsar	ﺮﺴﻤﻫ
женатый	moteʾahhel	ﻞﻫﺎﺘﻣ
замужняя	moteʾahhel	ﻞﻫﺎﺘﻣ
холостой(прил.)	mojarrad	دﺮﺠﻣ
холостяк	mojarrad	دﺮﺠﻣ
разведённый	talāq gerefte	ﻪﺘﻓﺮﮔ قﻼﻃ
вдова	bive zan	نز هﻮﯿﺑ
вдовец	bive	هﻮﯿﺑ
родственник	xišāvand	ﺪﻧوﺎﺸﯾﻮﺧ
близкий родственник	aqvām-e nazdik	ﮏﯾدﺰﻧ ماﻮﻗا
дальний родственник	aqvām-e dur	رود ماﻮﻗا
родные (родственники)	aqvām	ماﻮﻗا
сирота	yatim	ﻢﯿﺘﯾ
опекун	qayyem	ﻢﯿﻗ
усыновить	be pesari gereftan	ﻦﺘﻓﺮﮔ یﺮﺴﭘ ﻪﺑ
удочерить	be doxtari gereftan	ﻦﺘﻓﺮﮔ یﺮﺘﺧد ﻪﺑ
