Russian	Pronouncing	Farsi
Почему?	čerā?	؟اﺮﭼ
почему-то	be dalil-i	ﯽﻠﯿﻟد ﻪﺑ
потому, что …	čon	نﻮﭼ
зачем-то	barā-ye maqsudi	یدﻮﺼﻘﻣ یاﺮﺑ
и	va	و
или	yā	ﺎﯾ
но	ammā	ﺎﻣا
для (предлог)	barā-ye	یاﺮﺑ
слишком	besyār	رﺎﯿﺴﺑ
только	faqat	ﻂﻘﻓ
точно	daqiqan	ﺎﻘﯿﻗد
около (~ 10 кг)	taqriban	ًﺎﺒﯾﺮﻘﺗ
приблизительно	taqriban	ًﺎﺒﯾﺮﻘﺗ
приблизительный	taqribi	ﯽﺒﯾﺮﻘﺗ
почти	taqriban	ًﺎﺒﯾﺮﻘﺗ
остальное	baqiye	ﻪﯿﻘﺑ
другой (второй)	digar	ﺮﮕﯾد
другой (иной)	digar	ﺮﮕﯾد
каждый	har	ﺮﻫ
любой	har	ﺮﻫ
много	ziyād	دﺎﯾز
многие	besyāri	یرﺎﯿﺴﺑ
все (все люди)	hame	ﻪﻤﻫ
в обмен на …	dar avaz	ضﻮﻋ رد
взамен	dar barābar	ﺮﺑاﺮﺑ رد
вручную	dasti	ﯽﺘﺳد
вряд ли	baid ast	ﺖﺳا ﺪﯿﻌﺑ
наверное (вероятно)	ehtemālan	ًﻻﺎﻤﺘﺣا
нарочно	amdan	ًاﺪﻤﻋ
случайно	tasādofi	ﯽﻓدﺎﺼﺗ
очень	besyār	رﺎﯿﺴﺑ
например	masalan	ًﻼﺜﻣ
между	beyn	ﻦﯿﺑ
среди	miyān	نﺎﯿﻣ
столько	in qadr	رﺪﻗ ﻦﯾا
особенно	maxsusan	ًﺎﺻﻮﺼﺨﻣ
