Russian	Pronouncing	Farsi
голова	sar	ﺮﺳ
лицо	surat	ترﻮﺻ
нос	bini	ﯽﻨﯿﺑ
рот	dahān	نﺎﻫد
глаз	češm	ﻢﺸﭼ
глаза	češm-hā	ﺎﻫ ﻢﺸﭼ
зрачок	mardomak	ﮏﻣدﺮﻣ
бровь	abru	وﺮﺑا
ресница	može	هﮋﻣ
веко	pelek	ﮏﻠﭘ
язык	zabān	نﺎﺑز
зуб	dandān	ناﺪﻧد
губы	lab-hā	ﺎﻫ ﺐﻟ
скулы	ostexānhā-ye gune	ﻪﻧﻮﮔ یﺎﻫ ناﻮﺨﺘﺳا
десна	lase	ﻪﺜﻟ
нёбо	saqf-e dahān	نﺎﻫد ﻒﻘﺳ
ноздри	surāxhā-ye bini	ﯽﻨﯿﺑ یﺎﻫ خارﻮﺳ
подбородок	čāne	ﻪﻧﺎﭼ
челюсть	fak	ﮏﻓ
щека	gune	ﻪﻧﻮﮔ
лоб	pišāni	ﯽﻧﺎﺸﯿﭘ
висок	gijgāh	هﺎﮕﺠﯿﮔ
ухо	guš	شﻮﮔ
затылок	pas gardan	ندﺮﮔ ﺲﭘ
шея	gardan	ندﺮﮔ
горло	galu	ﻮﻠﮔ
волосы	mu-hā	ﺎﻫ ﻮﻣ
причёска	model-e mu	ﻮﻣ لﺪﻣ
стрижка (причёска)	model-e mu	ﻮﻣ لﺪﻣ
парик	kolāh-e gis	ﺲﯿﮔ هﻼﮐ
усы	sebil	ﻞﯿﺒﺳ
борода	riš	ﺶﯾر
носить (усы, бороду)	gozāštan	ﻦﺘﺷاﺬﮔ
коса	muy-ye bāfte	ﻪﺘﻓﺎﺑ یﻮﻣ
бакенбарды	xatt-e riš	ﺶﯾر ﻂﺧ
рыжий (человек)	muqermez	ﺰﻣﺮﻗﻮﻣ
седой (о волосах)	sefid-e mu	ﻮﻣ ﺪﯿﻔﺳ
лысый	tās	سﺎﻃ
лысина	tāsi	ﯽﺳﺎﻃ
хвост (причёска)	dom-e asbi	ﯽﺒﺳا مد
чёлка	čatri	یﺮﺘﭼ
