Russian	Pronouncing	Farsi
кисть	dast	ﺖﺳد
рука (вся)	bāzu	وزﺎﺑ
палец	angošt	ﺖﺸﮕﻧا
палец (ноги)	šast-e pā	ﺎﭘ ﺖﺼﺷ
большой палец	šost	ﺖﺴﺷ
мизинец	angošt-e kučak	ﮏﭼﻮﮐ ﺖﺸﮕﻧا
ноготь	nāxon	ﻦﺧﺎﻧ
кулак	mošt	ﺖﺸﻣ
ладонь	kaf-e dast	ﺖﺳد ﻒﮐ
запястье	moč-e dast	ﺖﺳد ﭻﻣ
предплечье	sāʿed	ﺪﻋﺎﺳ
локоть	āranj	ﺞﻧرآ
плечо	ketf	ﻒﺘﮐ
нога (выше ступни)	pā	ﺎﭘ
ступня	pā	ﺎﭘ
колено	zānu	ﻮﻧاز
икра	sāq	قﺎﺳ
бедро	rān	نار
пятка	pāšne-ye pā	ﺎﭘ ﮥﻨﺷﺎﭘ
тело	badan	نﺪﺑ
живот	šekam	ﻢﮑﺷ
грудь	sine	ﻪﻨﯿﺳ
грудь (женская)	sine	ﻪﻨﯿﺳ
бок	pahlu	ﻮﻠﻬﭘ
спина	pošt	ﺖﺸﭘ
поясница	kamar	ﺮﻤﮐ
талия	dur-e kamar	ﺮﻤﮐ رود
пупок	nāf	فﺎﻧ
ягодицы	nešiman-e gāh	هﺎﮔ ﻦﻤﯿﺸﻧ
зад	bāsan	ﻦﺳﺎﺑ
родинка	xāl	لﺎﺧ
родимое пятно	xāl-e mādarzād	دازردﺎﻣ لﺎﺧ
татуировка	xāl kubi	ﯽﺑﻮﮐ لﺎﺧ
шрам	jā-ye zaxm	ﻢﺧز یﺎﺟ
