Russian	Pronouncing	Farsi
болезнь	bimāri	یرﺎﻤﯿﺑ
болеть (быть больным)	bimār budan	ندﻮﺑ رﺎﻤﯿﺑ
здоровье	salāmati	ﯽﺘﻣﻼﺳ
насморк	āb-e rizeš-e bini	ﯽﻨﯿﺑ شﺰﯾر بآ
ангина	varam-e lowze	هزﻮﻟ مرو
простуда	sarmā xordegi	ﯽﮔدرﻮﺧ ﺎﻣﺮﺳ
простудиться	sarmā xordan	ندرﻮﺧ ﺎﻣﺮﺳ
бронхит	boronšit	ﺖﯿﺸﻧﺮﺑ
воспаление лёгких	zātorrie	ﻪﯾﺮﻟا تاذ
грипп	ānfolānzā	اﺰﻧﻻﻮﻔﻧآ
близорукий	nazdik bin	ﻦﯿﺑ ﮏﯾدﺰﻧ
дальнозоркий	durbin	ﻦﯿﺑرود
косоглазие	enherāf-e čašm	ﻢﺸﭼ فاﺮﺤﻧا
косоглазый	luč	چﻮﻟ
катаракта	āb morvārid	ﺪﯾراوﺮﻣ بآ
глаукома	ab-e siyāh	هﺎﯿﺳ بآ
инсульт	sekte-ye maqzi	یﺰﻐﻣ ﻪﺘﮑﺳ
инфаркт	sekte-ye qalbi	ﯽﺒﻠﻗ ﻪﺘﮑﺳ
инфаркт миокарда	ānfārktus	سﻮﺘﮐرﺎﻔﻧآ
паралич	falaji	ﯽﺠﻠﻓ
парализовать	falj kardan	ندﺮﮐ ﺞﻠﻓ
аллергия	ālerži	یژﺮﻟآ
астма	āsm	ﻢﺳآ
диабет	diyābet	ﺖﺑﺎﯾد
зубная боль	dandān-e dard	درد ناﺪﻧد
кариес	pusidegi	ﯽﮔﺪﯿﺳﻮﭘ
диарея	eshāl	لﺎﻬﺳا
запор	yobusat	ﺖﺳﻮﺒﯾ
расстройство желудка	nārāhati-ye meʿde	هﺪﻌﻣ ﯽﺘﺣارﺎﻧ
отравление (пищевое)	masmumiyat	ﺖﯿﻣﻮﻤﺴﻣ
отравиться (едой)	masmum šodan	نﺪﺷ مﻮﻤﺴﻣ
артрит	varam-e mafāsel	ﻞﺻﺎﻔﻣ مرو
рахит	rāšitism	ﻢﺴﯿﺘﯿﺷار
ревматизм	romātism	ﻢﺴﯿﺗﺎﻣور
атеросклероз	tasallob-e šarāin	ﻦﯿﺋاﺮﺷ ﺐﻠﺼﺗ
гастрит	varam-e meʿde	هﺪﻌﻣ مرو
аппендицит	āpāndisit	ﺖﯿﺴﯾﺪﻧﺎﭘآ
холецистит	eltehāb-e kise-ye safrā	اﺮﻔﺻ ﻪﺴﯿﮐ بﺎﻬﺘﻟا
язва (внутренняя)	zaxm	ﻢﺧز
корь	sorxak	ﮏﺧﺮﺳ
краснуха	sorxje	ﻪﺠﺧﺮﺳ
желтуха	yaraqān	نﺎﻗﺮﯾ
гепатит	hepātit	ﺖﯿﺗﺎﭙﻫ
шизофрения	šizoferni	ﯽﻧﺮﻓوﺰﯿﺷ
бешенство	hāri	یرﺎﻫ
невроз	extelāl-e aʿsāb	بﺎﺼﻋا لﻼﺘﺧا
сотрясение мозга	zarbe-ye maqzi	یﺰﻐﻣ ﻪﺑﺮﺿ
рак	saratān	نﺎﻃﺮﺳ
склероз	eskeleroz	زوﺮﻠﮑﺳا
рассеянный склероз	eskeleroz čandgāne	ﻪﻧﺎﮔﺪﻨﭼ زوﺮﻠﮑﺳا
алкоголизм	alkolism	ﻢﺴﯿﻠﮑﻟا
алкоголик	alkoli	ﯽﻠﮑﻟا
сифилис	siflis	ﺲﯿﻠﻔﯿﺳ
СПИД	eydz	زﺪﯾا
опухоль (внутренняя)	tumor	رﻮﻣﻮﺗ
злокачественная	bad xim	ﻢﯿﺧ ﺪﺑ
доброкачественная	xoš xim	ﻢﯿﺧ شﻮﺧ
лихорадка	tab	ﺐﺗ
малярия	mālāriyā	ﺎﯾرﻻﺎﻣ
гангрена	qānqāriyā	ﺎﯾرﺎﻘﻧﺎﻗ
морская болезнь	daryā-zadegi	ﯽﮔدزﺎﯾرد
эпилепсия	sarʿ	عﺮﺻ
эпидемия	epidemi	ﯽﻣﺪﯿﭘا
тиф	hasbe	ﻪﺒﺼﺣ
туберкулёз	sel	ﻞﺳ
холера	vabā	ﺎﺑو
чума	tāʿun	نﻮﻋﺎﻃ
