Russian	Pronouncing	Farsi
боль	dard	درد
заноза	xār	رﺎﺧ
пот	araq	قﺮﻋ
потеть	araq kardan	ندﺮﮐ قﺮﻋ
рвота	estefrāq	غاﺮﻔﺘﺳا
судороги	tašannoj	ﺞﻨﺸﺗ
беременная	bārdār	رادرﺎﺑ
родиться	motevalled šodan	نﺪﺷ ﺪﻟﻮﺘﻣ
роды	vazʿ-e haml	ﻞﻤﺣ ﻊﺿو
рожать	be donyā āvardan	ندروآ ﺎﯿﻧد ﻪﺑ
аборт	seqt-e janin	ﻦﯿﻨﺟ ﻂﻘﺳ
дыхание	tanaffos	ﺲﻔﻨﺗ
вдох	estenšāq	قﺎﺸﻨﺘﺳا
выдох	bāzdam	مدزﺎﺑ
выдохнуть	bāzdamidan	نﺪﯿﻣدزﺎﺑ
вдыхать	nafas kešidan	نﺪﯿﺸﮐ ﺲﻔﻧ
инвалид	maʿlul	لﻮﻠﻌﻣ
калека	falaj	ﺞﻠﻓ
наркоман	moʿtād	دﺎﺘﻌﻣ
глухой	kar	ﺮﮐ
немой	lāl	لﻻ
глухонемой	kar-o lāl	لﻻ و ﺮﮐ
сумасшедший(прил.)	divāne	ﻪﻧاﻮﯾد
сумасшедший(сущ.)	divāne	ﻪﻧاﻮﯾد
сумасшедшая(сущ.)	divāne	ﻪﻧاﻮﯾد
сойти с ума	divāne šodan	نﺪﺷ ﻪﻧاﻮﯾد
ген	žen	نژ
иммунитет	masuniyat	ﺖﯿﻧﻮﺼﻣ
наследственный	mowrusi	ﯽﺛورﻮﻣ
врождённый	mādarzād	دازردﺎﻣ
вирус	virus	سوﺮﯾو
микроб	mikrob	بوﺮﮑﯿﻣ
бактерия	bākteri	یﺮﺘﮐﺎﺑ
инфекция	ofunat	ﺖﻧﻮﻔﻋ
