Russian	Pronouncing	Farsi
лекарство	dāru	دارو
средство (мед.)	darmān	درﻣﺎن
прописать (лекарство)	tajviz kardan	ﺗﺠﻮﯾﺰ ﮐﺮدن
рецепт	nosxe	ﻧﺴﺨﻪ
таблетка	qors	ﻗﺮص
мазь	pomād	ﭘﻤﺎد
ампула	āmpul	آﻣﭙﻮل
микстура	šarbat	ﺷﺮﺑﺖ
сироп	šarbat	ﺷﺮﺑﺖ
пилюля	kapsul	ﮐﭙﺴﻮل
порошок	pudr	ﭘﻮدر
бинт	bānd	ﺑﺎﻧﺪ
вата	panbe	ﭘﻨﺒﻪ
йод	yod	ﯾﺪ
лейкопластырь	časb-e zaxm	ﭼﺴﺐ زﺧﻢ
пипетка	qatre čekān	ﻗﻄﺮه ﭼﮑﺎن
градусник	damāsanj	دﻣﺎﺳﻨﺞ
шприц	sorang	ﺳﺮﻧﮓ
инвалидная коляска	vilčer	وﯾﻠﭽﺮ
костыли	čub zir baqal	ﭼﻮب زﯾﺮ ﺑﻐﻞ
обезболивающее	mosaken	ﻣﺴﮑﻦ
слабительное	moshel	ﻣﺴﻬﻞ
спирт	alkol	اﻟﮑﻞ
лекарственная трава	giyāhān-e dāruyi	ﮔﯿﺎﻫﺎن داروﯾﯽ
травяной (чай и т.п.)	giyāhi	ﮔﯿﺎﻫﯽ
