Russian	Pronouncing	Farsi
мебель	mobl	ﻞﺒﻣ
стол	miz	ﺰﯿﻣ
стул	sandali	ﯽﻟﺪﻨﺻ
кровать	taxt-e xāb	باﻮﺧ ﺖﺨﺗ
диван	kānāpe	ﻪﭘﺎﻧﺎﮐ
кресло	mobl-e rāhati	ﯽﺘﺣار ﻞﺒﻣ
шкаф (книжный)	qafase-ye ketāb	بﺎﺘﮐ ﻪﺴﻔﻗ
полка (для книг)	qafase	ﻪﺴﻔﻗ
шкаф (для одежды)	komod	ﺪﻤﮐ
вешалка (на стене)	raxt āviz	ﺰﯾوآ ﺖﺧر
вешалка (стойка)	čub lebāsi	ﯽﺳﺎﺒﻟ بﻮﭼ
комод	komod	ﺪﻤﮐ
журнальный столик	miz-e pišdasti	ﯽﺘﺳﺪﺸﯿﭘ ﺰﯿﻣ
зеркало	āyene	ﻪﻨﯾآ
ковёр	farš	شﺮﻓ
коврик	qāliče	ﻪﭽﯿﻟﺎﻗ
камин	šumine	ﻪﻨﯿﻣﻮﺷ
свеча	šamʿ	ﻊﻤﺷ
подсвечник	šamʿdān	ناﺪﻌﻤﺷ
шторы	parde	هدﺮﭘ
обои	kāqaz-e divāri	یراﻮﯾد ﺬﻏﺎﮐ
жалюзи	kerkere	هﺮﮐﺮﮐ
настольная лампа	čerāq-e rumizi	یﺰﯿﻣور غاﺮﭼ
светильник (на стене)	čerāq-e divāri	یراﻮﯾد غاﺮﭼ
торшер	ābāžur	روژﺎﺑآ
люстра	luster	ﺮﺘﺳﻮﻟ
ножка (стола, стула)	pāye	ﻪﯾﺎﭘ
подлокотник	daste-ye sandali	ﯽﻟﺪﻨﺻ ﮥﺘﺳد
спинка (стула и т.п.)	pošti	ﯽﺘﺸﭘ
ящик (стола)	kešow	ﻮﺸﮐ
