Russian	Pronouncing	Farsi
0 ноль	sefr	ﺮﻔﺻ
1 один	yek	ﮏﯾ
2 два	do	ود
3 три	se	ﻪﺳ
4 четыре	čāhār	رﺎﻬﭼ
5 пять	panj	ﺞﻨﭘ
6 шесть	šeš	ﺶﺷ
7 семь	haft	ﺖﻔﻫ
8 восемь	hašt	ﺖﺸﻫ
9 девять	neh	ﻪﻧ
10 десять	dah	هد
11 одиннадцать	yāzdah	هدزﺎﯾ
12 двенадцать	davāzdah	هدزاود
13 тринадцать	sizdah	هدﺰﯿﺳ
14 четырнадцать	čāhārdah	هدرﺎﻬﭼ
15 пятнадцать	pānzdah	هدﺰﻧﺎﭘ
16 шестнадцать	šānzdah	هدﺰﻧﺎﺷ
17 семнадцать	hefdah	هﺪﻔﻫ
18 восемнадцать	hijdah	هﺪﺠﯿﻫ
19 девятнадцать	nuzdah	هدزﻮﻧ
20 двадцать	bist	ﺖﺴﯿﺑ
21 двадцать один	bist-o yek	ﮏﯾو ﺖﺴﯿﺑ
22 двадцать два	bist-o do	ودو ﺖﺴﯿﺑ
23 двадцать три	bist-o se	ﻪﺳو ﺖﺴﯿﺑ
30 тридцать	si	ﯽﺳ
31 тридцать один	si-yo yek	ﮏﯾو ﯽﺳ
32 тридцать два	si-yo do	ودو ﯽﺳ
33 тридцать три	si-yo se	ﻪﺳو ﯽﺳ
40 сорок	čehel	ﻞﻬﭼ
41 сорок один	čehel-o yek	ﮏﯾو ﻞﻬﭼ
42 сорок два	čehel-o do	ودو ﻞﻬﭼ
43 сорок три	čehel-o se	ﻪﺳو ﻞﻬﭼ
50 пятьдесят	panjāh	هﺎﺠﻨﭘ
51 пятьдесят один	panjāh-o yek	ﮏﯾو هﺎﺠﻨﭘ
52 пятьдесят два	panjāh-o do	ودو هﺎﺠﻨﭘ
53 пятьдесят три	panjāh-o se	ﻪﺳو هﺎﺠﻨﭘ
60 шестьдесят	šast	ﺖﺼﺷ
61 шестьдесят один	šast-o yek	ﮏﯾو ﺖﺼﺷ
62 шестьдесят два	šast-o do	ودو ﺖﺼﺷ
63 шестьдесят три	šast-o se	ﻪﺳو ﺖﺼﺷ
70 семьдесят	haftād	دﺎﺘﻔﻫ
71 семьдесят один	haftād-o yek	ﮏﯾو دﺎﺘﻔﻫ
72 семьдесят два	haftād-o do	ودو دﺎﺘﻔﻫ
73 семьдесят три	haftād-o se	ﻪﺳو دﺎﺘﻔﻫ
80 восемьдесят	haštād	دﺎﺘﺸﻫ
81 восемьдесят один	haštād-o yek	ﮏﯾو دﺎﺘﺸﻫ
82 восемьдесят два	haštād-o do	ودو دﺎﺘﺸﻫ
83 восемьдесят три	haštād-o se	ﻪﺳو دﺎﺘﺸﻫ
90 девяносто	navad	دﻮﻧ
91 девяносто один	navad-o yek	ﮏﯾو دﻮﻧ
92 девяносто два	navad-o do	ودو دﻮﻧ
93 девяносто три	navad-o se	ﻪﺳو دﻮﻧ
