Russian	Pronouncing	Farsi
телевизор	televiziyon	نﻮﯾﺰﯾﻮﻠﺗ
магнитофон	zabt-e sowt	تﻮﺻ ﻂﺒﺿ
видеомагнитофон	video	ﻮﺋﺪﯾو
приёмник	rādiyo	ﻮﯾدار
плеер	paxš konande	هﺪﻨﻨﮐ ﺶﺨﭘ
видеопроектор	video porožektor	رﻮﺘﮐژوﺮﭘ ﻮﺋﺪﯾو
домашний кинотеатр	sinamā-ye xānegi	ﯽﮕﻧﺎﺧ یﺎﻤﻨﯿﺳ
проигрыватель DVD	paxš konande-ye di vi di	ید یو ید هﺪﻨﻨﮐ ﺶﺨﭘ
усилитель	āmpli-fāyer	ﺮﯾﺎﻓ ﯽﻠﭙﻣآ
игровая приставка	konsul-e bāzi	یزﺎﺑ لﻮﺴﻨﮐ
видеокамера	durbin-e filmbardāri	یرادﺮﺒﻤﻠﯿﻓ ﻦﯿﺑرود
фотоаппарат	durbin-e akkāsi	ﯽﺳﺎﮑﻋ ﻦﯿﺑرود
цифровой фотоаппарат	durbin-e dijitāl	لﺎﺘﯿﺠﯾد ﻦﯿﺑرود
пылесос	jāru barqi	ﯽﻗﺮﺑ ورﺎﺟ
утюг	oto	ﻮﺗا
гладильная доска	miz-e otu	ﻮﺗا ﺰﯿﻣ
телефон	telefon	ﻦﻔﻠﺗ
мобильный телефон	telefon-e hamrāh	هاﺮﻤﻫ ﻦﻔﻠﺗ
машинка (пишущая)	māšin-e tahrir	ﺮﯾﺮﺤﺗ ﻦﯿﺷﺎﻣ
машинка (швейная)	čarx-e xayyāti	ﯽﻃﺎﯿﺧ خﺮﭼ
микрофон	mikrofon	نﻮﻓوﺮﮑﯿﻣ
наушники	guši	ﯽﺷﻮﮔ
пульт	kontorol az rāh-e dur	رود هار زا لﺮﺘﻨﮐ
компакт-диск	si-di	یﺪﯿﺳ
кассета	kāst	ﺖﺳﺎﮐ
пластинка(муз.)	safhe-ye gerāmāfon	نﻮﻓﺎﻣاﺮﮔ ﻪﺤﻔﺻ
