Russian	Pronouncing	Farsi
море	daryā	ﺎﯾرد
океан	oqyānus	سﻮﻧﺎﯿﻗا
залив	xalij	ﺞﯿﻠﺧ
пролив	tange	ﻪﮕﻨﺗ
земля, суша	zamin	ﻦﯿﻣز
материк	qāre	هرﺎﻗ
остров	jazire	هﺮﯾﺰﺟ
полуостров	šeb-e jazire	هﺮﯾﺰﺟ ﻪﺒﺷ
архипелаг	majmaʾ-ol-jazāyer	ﺮﯾاﺰﺠﻟاﻊﻤﺠﻣ
бухта	xalij-e kučak	ﮏﭼﻮﮐ ﺞﯿﻠﺧ
гавань	langargāh	هﺎﮔﺮﮕﻨﻟ
лагуна	mordāb	بادﺮﻣ
мыс	damāqe	ﻪﻏﺎﻣد
атолл	jazire-ye marjāni	ﯽﻧﺎﺟﺮﻣ هﺮﯾﺰﺟ
риф	tappe-ye daryāyi	ﯽﯾﺎﯾرد ﻪﭙﺗ
коралл	marjān	نﺎﺟﺮﻣ
коралловый риф	tappe-ye marjāni	ﯽﻧﺎﺟﺮﻣ ﻪﭙﺗ
глубокий	amiq	ﻖﯿﻤﻋ
глубина	omq	ﻖﻤﻋ
бездна	partgāh	هﺎﮕﺗﺮﭘ
впадина	derāz godāl	لادﻮﮔزارد
течение	jaryān	نﺎﯾﺮﺟ
омывать	ehāte kardan	ندﺮﮐ ﻪﻃﺎﺣا
побережье	sāhel	ﻞﺣﺎﺳ
берег (моря)	sāhel	ﻞﺣﺎﺳ
прилив	mod	ﺪﻣ
отлив	jazr	رﺰﺟ
отмель	sāhel-e šeni	ﯽﻨﺷ ﻞﺣﺎﺳ
дно	qaʾr	ﺮﻌﻗ
волна	mowj	جﻮﻣ
гребень волны	nok	کﻮﻧ
пена	kaf	ﻒﮐ
буря, шторм	tufān-e daryāyi	ﯽﯾﺎﯾرد نﺎﻓﻮﻃ
ураган	tufān	نﺎﻓﻮﻃ
цунами	sonāmi	ﯽﻣﺎﻧﻮﺳ
штиль	sokun-e daryā	ﺎﯾرد نﻮﮑﺳ
спокойный	ārām	مارآ
полюс	qotb	ﺐﻄﻗ
полярный	qotbi	ﯽﺒﻄﻗ
широта	arz-e joqrāfiyāyi	ﯽﯾﺎﯿﻓاﺮﻐﺟ ضﺮﻋ
долгота	tul-e joqrāfiyāyi	ﯽﯾﺎﯿﻓاﺮﻐﺟ لﻮﻃ
параллель	movāzi	یزاﻮﻣ
экватор	xatt-e ostavā	اﻮﺘﺳا ﻂﺧ
небо	āsemān	نﺎﻤﺳآ
горизонт	ofoq	ﻖﻓا
воздух	havā	اﻮﻫ
маяк	fānus-e daryāyi	ﯽﯾﺎﯾرد سﻮﻧﺎﻓ
нырять	širje raftan	ﻦﺘﻓر ﻪﺟﺮﯿﺷ
затонуть (о корабле)	qarq šodan	نﺪﺷ قﺮﻏ
сокровища	ganj	ﺞﻨﮔ
