Russian	Pronouncing	Farsi
Атлантический океан	oqyānus-e atlas	ﺲﻠﻃا سﻮﻧﺎﯿﻗا
Индийский океан	oqyānus-e hend	ﺪﻨﻫ سﻮﻧﺎﯿﻗا
Тихий океан	oqyānus-e ārām	مارآ سﻮﻧﺎﯿﻗا
Северный Ледовитый океан	oqyānus-e monjamed-e šomāli	ﯽﻟﺎﻤﺷ ﺪﻤﺠﻨﻣ سﻮﻧﺎﯿﻗا
Чёрное море	daryā-ye siyāh	هﺎﯿﺳ یﺎﯾرد
Красное море	daryā-ye sorx	خﺮﺳ یﺎﯾرد
Желтое море	daryā-ye zard	درز یﺎﯾرد
Белое море	daryā-ye sefid	ﺪﯿﻔﺳ یﺎﯾرد
Каспийское море	daryā-ye xazar	رﺰﺧ یﺎﯾرد
Мёртвое море	daryā-ye morde	هدﺮﻣ یﺎﯾرد
Средиземное море	daryā-ye meditarāne	ﻪﻧاﺮﺘﯾﺪﻣ یﺎﯾرد
Эгейское море	daryā-ye eže	هژا یﺎﯾرد
Адриатическое море	daryā-ye ādriyātik	ﮏﯿﺗﺎﯾردآ یﺎﯾرد
Аравийское море	daryā-ye arab	بﺮﻋ یﺎﯾرد
Японское море	daryā-ye žāpon	ﻦﭘاژ یﺎﯾرد
Берингово море	daryā-ye brinq	ﮓﻨﯾﺮﺑ یﺎﯾرد
Южно-Китайское море	daryā-ye čin-e jonubi	ﯽﺑﻮﻨﺟ ﻦﯿﭼ یﺎﯾرد
Коралловое море	daryā-ye marjān	نﺎﺟﺮﻣ یﺎﯾرد
Тасманово море	daryā-ye tās-emān	نﺎﻤﺳﺎﺗ یﺎﯾرد
Карибское море	daryā-ye kārāib	ﺐﯿﺋارﺎﮐ یﺎﯾرد
Баренцево море	daryā-ye barntz	ﺰﺘﻧرﺎﺑ یﺎﯾرد
Карское море	daryā-ye kārā	ارﺎﮐ یﺎﯾرد
Северное море	daryā-ye šomāl	لﺎﻤﺷ یﺎﯾرد
Балтийское море	daryā-ye bāltik	ﮏﯿﺘﻟﺎﺑ یﺎﯾرد
Норвежское море	daryā-ye norvež	ژوﺮﻧ یﺎﯾرد
