Russian	Pronouncing	Farsi
гора	kuh	هﻮﮐ
горная цепь	rešte-ye kuh	هﻮﮐ ﻪﺘﺷر
горный хребет	selsele-ye jebāl	لﺎﺒﺟ ﻪﻠﺴﻠﺳ
вершина	qolle	ﻪﻠﻗ
пик	qolle	ﻪﻠﻗ
подножие (горы)	dāmane-ye kuh	هﻮﮐ ﮥﻨﻣاد
склон	šib	ﺐﯿﺷ
вулкан	ātaš-fešān	نﺎﺸﻔﺸﺗآ
действующий вулкан	ātaš-fešān-e faʿāl	لﺎﻌﻓ نﺎﺸﻓ ﺶﺗآ
потухший вулкан	ātaš-fešān-e xāmuš	شﻮﻣﺎﺧ نﺎﺸﻓ ﺶﺗآ
извержение	favarān	نارﻮﻓ
кратер	dahāne-ye ātašfešān	نﺎﺸﻓ ﺶﺗآ ﮥﻧﺎﻫد
магма	māgmā	ﺎﻤﮔﺎﻣ
лава	godāze	هزاﺪﮔ
раскалённый	godāxte	ﻪﺘﺧاﺪﮔ
каньон	tange	ﻪﮕﻨﺗ
ущелье	darre-ye tang	ﮓﻨﺗ هرد
расщелина	tange	ﻪﮕﻨﺗ
прóпасть, обрыв	partgāh	هﺎﮕﺗﺮﭘ
перевал	gozargāh	هﺎﮔرﺬﮔ
плато	falāt	تﻼﻓ
скала	saxre	هﺮﺨﺻ
холм	tappe	ﻪﭙﺗ
ледник	yaxčāl	لﺎﭽﺨﯾ
водопад	ābšār	رﺎﺸﺑآ
гейзер	češme-ye āb-e garm	مﺮﮔ بآ ﮥﻤﺸﭼ
озеро	daryāče	ﻪﭼﺎﯾرد
равнина	jolge	ﻪﮕﻠﺟ
пейзаж	manzare	هﺮﻈﻨﻣ
эхо	enʿekās-e sowt	تﻮﺻ سﺎﮑﻌﻧا
альпинист	kuhnavard	درﻮﻨﻫﻮﮐ
скалолаз	saxre-ye navard	درﻮﻧ هﺮﺨﺻ
покорять	fath kardan	ندﺮﮐ ﺢﺘﻓ
восхождение	soʿud	دﻮﻌﺻ
