Russian	Pronouncing	Farsi
река	rudxāne	ﻪﻧﺎﺧدور
источник, родник	češme	ﻪﻤﺸﭼ
русло	bastar	ﺮﺘﺴﺑ
бассейн (реки)	howze	ﻪﺿﻮﺣ
впадать в … (о реке)	rixtan	ﻦﺘﺨﯾر
приток	enšeʿāb	بﺎﻌﺸﻧا
берег	sāhel	ﻞﺣﺎﺳ
течение	jaryān	نﺎﯾﺮﺟ
вниз по течению	be samt-e pāin-e rudxāne	ﻪﻧﺎﺧدور ﻦﯿﺋﺎﭘ ﺖﻤﺳ ﻪﺑ
вверх по течению	be samt-e bālā-ye rudxāne	ﻪﻧﺎﺧدور یﻻﺎﺑ ﺖﻤﺳ ﻪﺑ
наводнение	seyl	ﻞﯿﺳ
половодье	toqyān	نﺎﯿﻐﻃ
разливаться	toqyān kardan	ندﺮﮐ نﺎﯿﻐﻃ
затоплять	toqyān kardan	ندﺮﮐ نﺎﯿﻐﻃ
мель	tangāb	بﺎﮕﻨﺗ
порог	tondāb	بآﺪﻨﺗ
плотина	sad	ﺪﺳ
канал	kānāl	لﺎﻧﺎﮐ
водохранилище	maxzan-e āb	بآ نﺰﺨﻣ
шлюз	ābgir	ﺮﯿﮕﺑآ
водоём	maxzan-e āb	بآ نﺰﺨﻣ
болото	bātlāq	قﻼﺗﺎﺑ
трясина	lajan zār	راز ﻦﺠﻟ
водоворот	gerdāb	بادﺮﮔ
ручей	ravad	دور
питьевая	āšāmidani	ﯽﻧﺪﯿﻣﺎﺷآ
пресная (о воде)	širin	ﻦﯾﺮﯿﺷ
лёд	yax	ﺦﯾ
замёрзнуть (о реке)	yax bastan	ﻦﺘﺴﺑ ﺦﯾ
