Russian	Pronouncing	Farsi
лес	jangal	ﻞﮕﻨﺟ
лесной	jangali	ﯽﻠﮕﻨﺟ
чаща	jangal-e anbuh	هﻮﺒﻧا ﻞﮕﻨﺟ
роща	biše	ﻪﺸﯿﺑ
поляна	marqzār	راﺰﻏﺮﻣ
заросли	biše-hā	ﺎﻫ ﻪﺸﯿﺑ
кустарник	bute zār	راز ﻪﺗﻮﺑ
тропинка	kure-ye rāh	هار هرﻮﮐ
овраг	darre	هرد
дерево	deraxt	ﺖﺧرد
лист	barg	گﺮﺑ
листва	šāx-o barg	گﺮﺑ و خﺎﺷ
листопад	barg rizi	یﺰﯾر گﺮﺑ
опадать (о листьях)	rixtan	ﻦﺘﺨﯾر
верхушка (дерева)	nok	کﻮﻧ
ветка	šāxe	ﻪﺧﺎﺷ
сук	šāxe	ﻪﺧﺎﺷ
почка	šokufe	ﻪﻓﻮﮑﺷ
иголка	suzan	نزﻮﺳ
шишка (сосновая)	maxrut-e kāj	جﺎﮐ طوﺮﺨﻣ
дупло	surāx	خارﻮﺳ
гнездо	lāne	ﻪﻧﻻ
нора	lāne	ﻪﻧﻻ
ствол (дерева)	tane	ﻪﻨﺗ
корень	riše	ﻪﺸﯾر
кора	pust	ﺖﺳﻮﭘ
мох	xaze	هﺰﺧ
корчевать	rišekan kardan	ندﺮﮐ ﻦﮐ ﻪﺸﯾر
рубить (дерево)	boridan	نﺪﯾﺮﺑ
вырубать лес	boridan	نﺪﯾﺮﺑ
пень	kande-ye deraxt	ﺖﺧرد ۀﺪﻨﮐ
костёр	ātaš	ﺶﺗآ
лесной пожар	ātaš suzi	یزﻮﺳ ﺶﺗآ
тушить	xāmuš kardan	ندﺮﮐ شﻮﻣﺎﺧ
лесник	jangal bān	نﺎﺑ ﻞﮕﻨﺟ
охрана (растений)	mohāfezat	ﺖﻈﻓﺎﺤﻣ
охранять (природу)	mohāfezat kardan	ندﺮﮐ ﺖﻈﻓﺎﺤﻣ
браконьер	šekārči-ye qeyr-e qānuni	ﯽﻧﻮﻧﺎﻗ ﺮﯿﻏ ﯽﭼرﺎﮑﺷ
капкан	tale	ﻪﻠﺗ
собирать (грибы, ягоды)	čidan	نﺪﯿﭼ
заблудиться	gom šodan	نﺪﺷ ﻢﮔ
