Russian	Pronouncing	Farsi
природные ресурсы	manābe-ʿe tabii	ﯽﻌﯿﺒﻃ ﻊﺑﺎﻨﻣ
полезные ископаемые	mavādd-e maʿdani	ﯽﻧﺪﻌﻣ داﻮﻣ
залежи	tah nešast	ﺖﺴﺸﻧ ﻪﺗ
месторождение	meydān	ناﺪﯿﻣ
добывать (руду)	estexrāj kardan	ندﺮﮐ جاﺮﺨﺘﺳا
добыча	estexrāj	جاﺮﺨﺘﺳا
руда	sang-e maʿdani	ﯽﻧﺪﻌﻣ ﮓﻨﺳ
рудник, шахта	maʿdan	نﺪﻌﻣ
шахта (скважина)	maʿdan	نﺪﻌﻣ
шахтёр	maʿdanči	ﯽﭽﻧﺪﻌﻣ
газ	gāz	زﺎﮔ
газопровод	lule-ye gāz	زﺎﮔ ﮥﻟﻮﻟ
нефть	naft	ﺖﻔﻧ
нефтепровод	lule-ye naft	ﺖﻔﻧ ﮥﻟﻮﻟ
нефтяная скважина	čāh-e naft	ﺖﻔﻧ هﺎﭼ
нефтяная вышка	dakal-e haffāri	یرﺎﻔﺣ ﻞﮐد
танкер	tānker	ﺮﮑﻧﺎﺗ
песок	šen	ﻦﺷ
известняк	sang-e āhak	ﮏﻫآ ﮓﻨﺳ
гравий	sangrize	هﺰﯾﺮﮕﻨﺳ
торф	turb	برﻮﺗ
глина	xāk-e ros	سر کﺎﺧ
уголь	zoqāl sang	ﮓﻨﺳ لﺎﻏز
железо	āhan	ﻦﻫآ
золото	talā	ﻼﻃ
серебро	noqre	هﺮﻘﻧ
никель	nikel	ﻞﮑﯿﻧ
медь	mes	ﺲﻣ
цинк	ruy	یور
марганец	mangenez	ﺰﻨﮕﻨﻣ
ртуть	jive	هﻮﯿﺟ
свинец	sorb	بﺮﺳ
минерал	mādde-ye maʿdani	ﯽﻧﺪﻌﻣ ۀدﺎﻣ
кристалл	bolur	رﻮﻠﺑ
мрамор	marmar	ﺮﻣﺮﻣ
уран	orāniyom	مﻮﯿﻧاروا
