Russian	Pronouncing	Farsi
погода	havā	اﻮﻫ
прогноз погоды	piš bini havā	اﻮﻫ ﯽﻨﯿﺑ ﺶﯿﭘ
температура	damā	ﺎﻣد
термометр	damāsanj	ﺞﻨﺳﺎﻣد
барометр	havāsanj	ﺞﻨﺳاﻮﻫ
влажный	martub	بﻮﻃﺮﻣ
влажность	rotubat	ﺖﺑﻮﻃر
жара	garmā	ﺎﻣﺮﮔ
жаркий	dāq	غاد
жарко (о погоде)	havā xeyli garm ast	ﺖﺳا مﺮﮔ ﯽﻠﯿﺧ اﻮﻫ
тепло (о погоде)	havā garm ast	ﺖﺳا مﺮﮔ اﻮﻫ
тёплый (день)	garm	مﺮﮔ
холодно (о погоде)	sard ast	ﺖﺳا دﺮﺳ
холодный	sard	دﺮﺳ
солнце	āftāb	بﺎﺘﻓآ
светить (о солнце)	tābidan	نﺪﯿﺑﺎﺗ
солнечный (день)	āftābi	ﯽﺑﺎﺘﻓآ
взойти	toluʾ kardan	ندﺮﮐ عﻮﻠﻃ
сесть	qorob kardan	ندﺮﮐ بوﺮﻏ
облако	abr	ﺮﺑا
облачный	abri	یﺮﺑا
туча	abr-e bārānzā	از نارﺎﺑ ﺮﺑا
пасмурный	tire	هﺮﯿﺗ
дождь	bārān	نارﺎﺑ
идёт дождь	bārān mibārad	درﺎﺑ ﯽﻣ نارﺎﺑ
дождливый	bārāni	ﯽﻧارﺎﺑ
моросить	nam-nam bāridan	نﺪﯾرﺎﺑ ﻢﻧ ﻢﻧ
проливной дождь	bārān šodid	ﺪﯾﺪﺷ نارﺎﺑ
ливень	ragbār	رﺎﺒﮔر
сильный (дождь)	šadid	ﺪﯾﺪﺷ
лужа (на улице)	čāle	ﻪﻟﺎﭼ
промокнуть	xis šodan	نﺪﺷ ﺲﯿﺧ
туман	meh	ﻪﻣ
туманный	meh ālud	دﻮﻟآ ﻪﻣ
снег	barf	فﺮﺑ
идёт снег	barf mibārad	درﺎﺑ ﯽﻣ فﺮﺑ
