Russian	Pronouncing	Farsi
гроза	tufān	نﺎﻓﻮﻃ
молния	barq	قﺮﺑ
сверкать	barq zadan	ندز قﺮﺑ
гром	raʿd	ﺪﻋر
греметь (о громе)	qorridan	نﺪﯾﺮﻏ
гремит гром	raʿd mizanad	ﺪﻧز ﯽﻣ ﺪﻋر
град	tagarg	گﺮﮕﺗ
идёт град	tagarg mibārad	درﺎﺑ ﯽﻣ گﺮﮕﺗ
затопить (залить водой)	toqyān kardan	ندﺮﮐ نﺎﯿﻐﻃ
наводнение	seyl	ﻞﯿﺳ
землетрясение	zamin-larze	هزﺮﻟ ﻦﯿﻣز
толчок (подземный)	tekān	نﺎﮑﺗ
эпицентр	kānun-e zaminlarze	هزﺮﻟ ﻦﯿﻣز نﻮﻧﺎﮐ
извержение	favarān	نارﻮﻓ
лава	godāze	هزاﺪﮔ
смерч, торнадо	gerdbād	دﺎﺑدﺮﮔ
тайфун	tufān	نﺎﻓﻮﻃ
ураган	tufān	نﺎﻓﻮﻃ
буря	tufān	نﺎﻓﻮﻃ
цунами	sonāmi	ﯽﻣﺎﻧﻮﺳ
циклон	gerdbād	دﺎﺑدﺮﮔ
непогода	havā-ye bad	ﺪﺑ یاﻮﻫ
пожар	ātaš suzi	یزﻮﺳ ﺶﺗآ
катастрофа	balā-ye tabiʿi	ﯽﻌﯿﺒﻃ یﻼﺑ
метеорит	sang-e āsmāni	ﯽﻧﺎﻤﺳآ ﮓﻨﺳ
лавина	bahman	ﻦﻤﻬﺑ
обвал (снежный)	bahman	ﻦﻤﻬﺑ
метель	kulāk	کﻻﻮﮐ
вьюга	barf-o burān	نارﻮﺑ و فﺮﺑ
