Russian	Pronouncing	Farsi
животное	heyvān	ناﻮﯿﺣ
зверь	heyvān	ناﻮﯿﺣ
белка	sanjāb	بﺎﺠﻨﺳ
ёж	xārpošt	ﺖﺸﭘرﺎﺧ
заяц	xarguš	شﻮﮔﺮﺧ
кролик	xarguš	شﻮﮔﺮﺧ
барсук	gurkan	ﻦﮐرﻮﮔ
енот	rākon	نﻮﮐار
хомяк	muš-e bozorg	گرﺰﺑ شﻮﻣ
сурок	muš-e xormā-ye kuhi	ﯽﻫﻮﮐ یﺎﻣﺮﺧ شﻮﻣ
крот	muš-e kur	رﻮﮐ شﻮﻣ
мышь	muš	شﻮﻣ
крыса	muš-e sahrāyi	ﯽﯾاﺮﺤﺻ شﻮﻣ
летучая мышь	xoffāš	شﺎﻔﺧ
горностай	qāqom	ﻢﻗﺎﻗ
соболь	samur	رﻮﻤﺳ
куница	samur	رﻮﻤﺳ
ласка	rāsu	ﻮﺳار
норка	tire-ye rāsu	ﻮﺳار هﺮﯿﺗ
бобр	sag-e ābi	ﯽﺑآ ﮓﺳ
выдра	samur ābi	ﯽﺑآ رﻮﻤﺳ
лошадь	asb	ﺐﺳا
лось	gavazn	نزﻮﮔ
олень	āhu	ﻮﻫآ
верблюд	šotor	ﺮﺘﺷ
бизон	gāvmiš	ﺶﯿﻣوﺎﮔ
зубр	gāv miš	ﺶﯿﻣ وﺎﮔ
буйвол	bufālo	ﻮﻟﺎﻓﻮﺑ
зебра	gurexar	ﺮﺧرﻮﮔ
антилопа	boz-e kuhi	ﯽﻫﻮﮐ ﺰﺑ
косуля	šukā	ﺎﮐﻮﺷ
лань	qazāl	لاﺰﻏ
серна	boz-e kuhi	ﯽﻫﻮﮐ ﺰﺑ
кабан	gorāz	زاﺮﮔ
кит	nahang	ﮓﻨﻬﻧ
тюлень	fak	ﮏﻓ
морж	širmāhi	ﯽﻫﺎﻣﺮﯿﺷ
котик	gorbe-ye ābi	ﯽﺑآ ﮥﺑﺮﮔ
дельфин	delfin	ﻦﯿﻔﻟد
медведь	xers	سﺮﺧ
белый медведь	xers-e sefid	ﺪﯿﻔﺳ سﺮﺧ
панда	pāndā	اﺪﻧﺎﭘ
обезьяна	meymun	نﻮﻤﯿﻣ
шимпанзе	šampānze	هﺰﻧﺎﭙﻤﺷ
орангутанг	orāngutān	نﺎﺗﻮﮕﻧاروا
горилла	guril	ﻞﯾرﻮﮔ
макака	mākāk	کﺎﮐﺎﻣ
гиббон	gibon	نﻮﺒﯿﮔ
слон	fil	ﻞﯿﻓ
носорог	kargadan	نﺪﮔﺮﮐ
жираф	zarrāfe	ﻪﻓارز
бегемот	asb-e ābi	ﯽﺑآ ﺐﺳا
кенгуру	kāngoro	ورﻮﮕﻧﺎﮐ
коала	kovālā	ﻻاﻮﮐ
мангуст	xadang	ﮓﻧﺪﺧ
шиншилла	čin čila	ﻼﯿﭼ ﻦﯿﭼ
скунс	rāsu-ye badbu	ﻮﺑﺪﺑ یﻮﺳار
дикобраз	taši	ﯽﺸﺗ
