Russian	Pronouncing	Farsi
птица	parande	هﺪﻧﺮﭘ
голубь	kabutar	ﺮﺗﻮﺒﮐ
воробей	gonješk	ﮏﺸﺠﻨﮔ
синица	morq-e zanburxār	راﻮﺧرﻮﺒﻧز غﺮﻣ
сорока	zāqi	ﯽﻏاز
ворон	kalāq-e siyāh	هﺎﯿﺳ غﻼﮐ
ворона	kalāq	غﻼﮐ
галка	zāq	غاز
грач	kalāq-e siyāh	هﺎﯿﺳ غﻼﮐ
утка	ordak	کدرا
гусь	qāz	زﺎﻏ
фазан	qarqāvol	لوﺎﻗﺮﻗ
орёл	oqāb	بﺎﻘﻋ
ястреб	qerqi	ﯽﻗﺮﻗ
сокол	šāhin	ﻦﯿﻫﺎﺷ
гриф	karkas	ﺲﮐﺮﮐ
кондор	karkas-e emrikāyi	ﻰﯾﺎﮑﯾﺮﻣا ﺲﮐﺮﮐ
лебедь	qu	ﻮﻗ
журавль	dornā	ﺎﻧرد
аист	lak lak	ﮏﻟ ﮏﻟ
попугай	tuti	ﯽﻃﻮﻃ
колибри	morq-e magas-e xār	راﻮﺧ ﺲﮕﻣ غﺮﻣ
павлин	tāvus	سووﺎﻃ
страус	šotormorq	غﺮﻣﺮﺘﺷ
цапля	havāsil	ﻞﯿﺻاﻮﺣ
фламинго	felāmingo	ﻮﮕﻨﯿﻣﻼﻓ
пеликан	pelikān	نﺎﮑﯿﻠﭘ
соловей	bolbol	ﻞﺒﻠﺑ
ласточка	parastu	ﻮﺘﺳﺮﭘ
дрозд	bāstarak	کﺮﺘﺳﺎﺑ
певчий дрозд	torqe	ﻪﻗﺮﻃ
чёрный дрозд	tukā-ye siyāh	هﺎﯿﺳ یﺎﮐﻮﺗ
стриж	bādxorak	کرﻮﺧدﺎﺑ
жаворонок	čakāvak	کوﺎﮑﭼ
перепел	belderčin	ﻦﯿﭼرﺪﻠﺑ
дятел	dārkub	بﻮﮐراد
кукушка	fāxte	ﻪﺘﺧﺎﻓ
сова	joqd	ﺪﻐﺟ
филин	šāh buf	فﻮﺑ هﺎﺷ
глухарь	siāh xorus	سوﺮﺧ هﺎﯿﺳ
тетерев	siāh xorus-e jangali	ﯽﻠﮕﻨﺟ سوﺮﺧ هﺎﯿﺳ
куропатка	kabk	ﮏﺒﮐ
скворец	sār	رﺎﺳ
канарейка	qanāri	یرﺎﻨﻗ
рябчик	siyāh xorus-e fandoqi	ﯽﻗﺪﻨﻓ سوﺮﺧ هﺎﯿﺳ
зяблик	sehre-ye jangali	ﯽﻠﮕﻨﺟ هﺮﻬﺳ
снегирь	sohre sar-e siyāh	هﺎﯿﺳ ﺮﺳ هﺮﻬﺳ
чайка	morq-e daryāyi	ﯽﯾﺎﯾرد غﺮﻣ
альбатрос	morq-e daryāyi	ﯽﯾﺎﯾرد غﺮﻣ
пингвин	pangoan	ﻦﺋﻮﮕﻨﭘ
