Russian	Pronouncing	Farsi
лещ	māhi-ye sim	ﻢﯿﺳ ﯽﻫﺎﻣ
карп	kapur	رﻮﭙﮐ
окунь	māhi-e luti	ﯽﺗﻮﻟ ﯽﻫﺎﻣ
сом	gorbe-ye māhi	ﯽﻫﺎﻣ ﻪﺑﺮﮔ
щука	ordak māhi	ﯽﻫﺎﻣ کدرا
лосось	māhi-ye salemon	نﻮﻤﻟﺎﺳ ﯽﻫﺎﻣ
осётр	māhi-ye xāviār	رﺎﯾوﺎﺧ ﯽﻫﺎﻣ
сельдь	māhi-ye šur	رﻮﺷ ﯽﻫﺎﻣ
сёмга	sālmon-e atlāntik	ﮏﯿﺘﻧﻼﺗا نﻮﻤﻟﺎﺳ
скумбрия	māhi-ye esqumeri	یﺮﻣﻮﻘﺳا ﯽﻫﺎﻣ
камбала	sofre māhi	ﯽﻫﺎﻣ هﺮﻔﺳ
судак	suf	فﻮﺳ
треска	māhi-ye rowqan	ﻦﻏور ﯽﻫﺎﻣ
тунец	tan māhi	ﯽﻫﺎﻣ ﻦﺗ
форель	māhi-ye qezelālā	ﻻآ لﺰﻗ ﯽﻫﺎﻣ
угорь	mārmāhi	ﯽﻫﺎﻣرﺎﻣ
электрический скат	partomahiye barqi	ﯽﻗﺮﺑ ﯽﻫﺎﻣﻮﺗﺮﭘ
мурена	mārmāhi	ﻰﻫﺎﻣرﺎﻣ
пиранья	pirānā	ﺎﻧاﺮﯿﭘ
акула	kuse-ye māhi	ﯽﻫﺎﻣ ﻪﺳﻮﮐ
дельфин	delfin	ﻦﯿﻔﻟد
кит	nahang	ﮓﻨﻬﻧ
краб	xarčang	ﮓﻨﭼﺮﺧ
медуза	arus-e daryāyi	ﯽﯾﺎﯾرد سوﺮﻋ
осьминог	hašt pā	ﺎﭘ ﺖﺸﻫ
морская звезда	setāre-ye daryāyi	ﯽﯾﺎﯾرد هرﺎﺘﺳ
морской ёж	xārpošt-e daryāyi	ﯽﯾﺎﯾرد ﺖﺸﭘرﺎﺧ
морской конёк	asb-e daryāyi	ﯽﯾﺎﯾرد ﺐﺳا
устрица	sadaf-e xorāki	ﯽﮐارﻮﺧ فﺪﺻ
креветка	meygu	ﻮﮕﯿﻣ
омар	xarčang-e daryāyi	ﯽﯾﺎﯾرد ﮓﻨﭼﺮﺧ
лангуст	xarčang-e xārdār	رادرﺎﺧ ﮓﻨﭼﺮﺧ
