Russian	Pronouncing	Farsi
насекомое	hašare	هﺮﺸﺣ
бабочка	parvāne	ﻪﻧاوﺮﭘ
муравей	murče	ﻪﭼرﻮﻣ
муха	magas	ﺲﮕﻣ
комар	paše	ﻪﺸﭘ
жук	susk	ﮏﺳﻮﺳ
оса	zanbur	رﻮﺒﻧز
пчела	zanbur-e asal	ﻞﺴﻋ رﻮﺒﻧز
шмель	xar zanbur	رﻮﺒﻧزﺮﺧ
овод	xarmagas	ﺲﮕﻣﺮﺧ
паук	ankabut	تﻮﺒﮑﻨﻋ
паутина	tār-e ankabut	تﻮﺒﮑﻨﻋرﺎﺗ
стрекоза	sanjāqak	ﮏﻗﺎﺠﻨﺳ
кузнечик	malax	ﺦﻠﻣ
мотылёк	bid	ﺪﯿﺑ
таракан	susk	ﮏﺳﻮﺳ
клещ	kane	ﻪﻨﮐ
блоха	kak	ﮏﮐ
мошка	paše-ye rize	هﺰﯾر ﻪﺸﭘ
саранча	malax	ﺦﻠﻣ
улитка	halazun	نوﺰﻠﺣ
сверчок	jirjirak	کﺮﯿﺟﺮﯿﺟ
светлячок	kerm-e šab-tāb	بﺎﺗ ﺐﺷ مﺮﮐ
божья коровка	kafšduzak	کزوﺪﺸﻔﮐ
майский жук	susk bāldār	راﺪﻟﺎﺑ ﮏﺳﻮﺳ
пиявка	zālu	ﻮﻟاز
гусеница	kerm-e abrišam	ﻢﺸﯾﺮﺑا مﺮﮐ
червь	kerm	مﺮﮐ
червь (личинка)	lārv	ورﻻ
