Russian	Pronouncing	Farsi
дерево	deraxt	ﺖﺧرد
лиственное	barg riz	ﺰﯾر گﺮﺑ
хвойное	maxrutiyān	نﺎﯿﻃوﺮﺨﻣ
вечнозелёное	hamiše sabz	ﺰﺒﺳ ﻪﺸﯿﻤﻫ
яблоня	deraxt-e sib	ﺐﯿﺳ ﺖﺧرد
груша	golābi	ﯽﺑﻼﮔ
черешня	gilās	سﻼﯿﮔ
вишня	ālbālu	ﻮﻟﺎﺒﻟآ
слива	ālu	ﻮﻟآ
берёза	tus	سﻮﺗ
дуб	balut	طﻮﻠﺑ
липа	zirfun	نﻮﻓﺮﯾز
осина	senowbar-e larzān	نازﺮﻟ ﺮﺑﻮﻨﺻ
клён	afrā	اﺮﻓا
ель	senowbar	ﺮﺑﻮﻨﺻ
сосна	kāj	جﺎﮐ
лиственница	senowbar-e ārāste	ﻪﺘﺳارآ ﺮﺑﻮﻨﺻ
пихта	šāh deraxt	ﺖﺧرد هﺎﺷ
кедр	sedr	رﺪﺳ
тополь	sepidār	راﺪﯿﭙﺳ
рябина	zabān gonješk-e kuhi	ﯽﻫﻮﮐ ﮏﺸﺠﻨﮔ نﺎﺑز
ива	bid	ﺪﯿﺑ
ольха	tuskā	ﺎﮑﺳﻮﺗ
бук	rāš	شار
вяз	nārvan-e qermez	ﺰﻣﺮﻗ نورﺎﻧ
ясень	zabān-e gonješk	ﮏﺸﺠﻨﮔ نﺎﺑز
каштан	šāh balut	طﻮﻠﺑ هﺎﺷ
магнолия	māgnoliyā	ﺎﯿﻟﻮﻨﮔﺎﻣ
пальма	naxl	ﻞﺨﻧ
кипарис	sarv	وﺮﺳ
мангровое дерево	karnā	ﺎﻧﺮﮐ
баобаб	bāobāb	بﺎﺑﻮﺋﺎﺑ
эвкалипт	okaliptus	سﻮﺘﭙﯿﻟﺎﮐوا
секвойя	sorx-e čub	بﻮﭼ خﺮﺳ
