Russian	Pronouncing	Farsi
фрукт, плод	mive	ﻣﯿﻮه
фрукты, плоды	mive jāt	ﻣﯿﻮه ﺟﺎت
яблоко	sib	ﺳﯿﺐ
груша	golābi	ﮔﻼﺑﯽ
слива	ālu	آﻟﻮ
клубника	tut-e farangi	ﺗﻮت ﻓﺮﻧﮕﯽ
вишня	ālbālu	آﻟﺒﺎﻟﻮ
черешня	gilās	ﮔﯿﻼس
виноград	angur	اﻧﮕﻮر
малина	tamešk	ﺗﻤﺸﮏ
чёрная смородина	angur-e farangi-ye siyāh	اﻧﮕﻮر ﻓﺮﻧﮕﯽ ﺳﯿﺎه
красная смородина	angur-e farangi-ye sorx	اﻧﮕﻮر ﻓﺮﻧﮕﯽ ﺳﺮخ
крыжовник	angur-e farangi	اﻧﮕﻮر ﻓﺮﻧﮕﯽ
клюква	nārdānak-e vahši	ﻧﺎرداﻧﮏ وﺣﺸﯽ
апельсин	porteqāl	ﭘﺮﺗﻘﺎل
мандарин	nārengi	ﻧﺎرﻧﮕﯽ
ананас	ānānās	آﻧﺎﻧﺎس
банан	mowz	ﻣﻮز
финик	xormā	ﺧﺮﻣﺎ
лимон	limu	ﻟﯿﻤﻮ
абрикос	zardālu	زردآﻟﻮ
персик	holu	ﻫﻠﻮ
киви	kivi	ﮐﯿﻮى
грейпфрут	gerip forut	ﮔﺮﯾﭗ ﻓﻮروت
ягода	mive-ye butei	ﻣﯿﻮۀ ﺑﻮﺗﻪ ای
ягоды	mivehā-ye butei	ﻣﯿﻮه ﻫﺎی ﺑﻮﺗﻪ ای
брусника	tut-e farangi-ye jangali	ﺗﻮت ﻓﺮﻧﮕﯽ ﺟﻨﮕﻠﯽ
земляника	zoqāl axte	زﻏﺎل اﺧﺘﻪ
черника	zoqāl axte	زﻏﺎل اﺧﺘﻪ
