Russian	Pronouncing	Farsi
цветок	gol	ﮔﻞ
букет	daste-ye gol	دﺳﺘﻪ ﮔﻞ
роза	gol-e sorx	ﮔﻞ ﺳﺮخ
тюльпан	lāle	ﻻﻟﻪ
гвоздика	mixak	ﻣﯿﺨﮏ
гладиолус	susan-e sefid	ﺳﻮﺳﻦ ﺳﻔﯿﺪ
василёк	gol-e gandom	ﮔﻞ ﮔﻨﺪم
колокольчик	gol-e estekāni	ﮔﻞ اﺳﺘﮑﺎﻧﯽ
одуванчик	gol-e qāsedak	ﮔﻞ ﻗﺎﺻﺪک
ромашка	bābune	ﺑﺎﺑﻮﻧﻪ
алоэ	oloviye	آﻟﻮﺋﻪ
кактус	kāktus	ﮐﺎﮐﺘﻮس
фикус	fikus	ﻓﯿﮑﻮس
лилия	susan	ﺳﻮﺳﻦ
герань	gol-e šamʿdāni	ﮔﻞ ﺷﻤﻌﺪاﻧﯽ
гиацинт	sonbol	ﺳﻨﺒﻞ
мимоза	mimosā	ﻣﯿﻤﻮﺳﺎ
нарцисс	narges	ﻧﺮﮔﺲ
настурция	gol-e lādan	ﮔﻞ ﻻدن
орхидея	orkide	ارﮐﯿﺪه
пион	gol-e ašrafi	ﮔﻞ اﺷﺮﻓﯽ
фиалка	banafše	ﺑﻨﻔﺸﻪ
анютины глазки	banafše-ye farangi	ﺑﻨﻔﺸﻪ ﻓﺮﻧﮕﻰ
незабудка	gol-e farāmuš-am makon	ﮔﻞ ﻓﺮاﻣﻮﺷﻢ ﻣﮑﻦ
маргаритка	gol-e morvārid	ﮔﻞ ﻣﺮوارﯾﺪ
мак	xašxāš	ﺧﺸﺨﺎش
конопля	šāh dāne	ﺷﺎه داﻧﻪ
мята	naʿnāʿ	ﻧﻌﻨﺎع
ландыш	muge	ﻣﻮﮔﻪ
подснежник	gol-e barfi	ﮔﻞ ﺑﺮﻓﯽ
крапива	gazane	ﮔﺰﻧﻪ
щавель	toršak	ﺗﺮﺷﮏ
кувшинка	nilufar-e abi	ﻧﯿﻠﻮﻓﺮ آﺑﻰ
папоротник	saraxs	ﺳﺮﺧﺲ
лишайник	golesang	ﮔﻠﺴﻨﮓ
оранжерея	golxāne	ﮔﻠﺨﺎﻧﻪ
газон	čaman	ﭼﻤﻦ
клумба	baqče-ye gol	ﺑﺎﻏﭽﻪ ﮔﻞ
растение	giyāh	ﮔﯿﺎه
трава	alaf	ﻋﻠﻒ
травинка	alaf	ﻋﻠﻒ
лист (растения)	barg	ﺑﺮگ
лепесток	golbarg	ﮔﻠﺒﺮگ
стебель	sāqe	ﺳﺎﻗﻪ
клубень	riše	رﯾﺸﻪ
росток	javāne	ﺟﻮاﻧﻪ
шип (растения)	xār	ﺧﺎر
цвести	gol kardan	ﮔﻞ ﮐﺮدن
вянуть	pažmorde šodan	ﭘﮋﻣﺮده ﺷﺪن
запах	bu	ﺑﻮ
срезать	boridan	ﺑﺮﯾﺪن
сорвать (цветок)	kandan	ﮐﻨﺪن
