цвет	rang, رﻧﮓ
оттенок	teyf-e rang, ﻃﯿﻒ رﻧﮓ
тон	rangmaye, رﻧﮕﻤﺎﯾﻪ
радуга	rangin kamān, رﻧﮕﯿﻦ ﮐﻤﺎن
белый	sefid, ﺳﻔﯿﺪ
чёрный	siyāh, ﺳﯿﺎه
серый	xākestari, ﺧﺎﮐﺴﺘﺮی
зелёный	sabz, ﺳﺒﺰ
жёлтый	zard, زرد
красный	sorx, ﺳﺮخ
синий	abi, آﺑﯽ
голубой	ābi rowšan, آﺑﯽ روﺷﻦ
розовый	surati, ﺻﻮرﺗﯽ
оранжевый	nārenji, ﻧﺎرﻧﺠﯽ
фиолетовый	banafš, ﺑﻨﻔﺶ
коричневый	qahve i, ﻗﻬﻮه ای
золотой	talāyi, ﻃﻼﯾﯽ
серебристый	noqre i, ﻧﻘﺮه ای
бежевый	baž, ﺑﮋ
кремовый	kerem, ﮐﺮم
бирюзовый	firuze i, ﻓﯿﺮوزه ای
вишнёвый	ālbāluyi, آﻟﺒﺎﻟﻮﯾﯽ
лиловый	banafš yasi, ﺑﻨﻔﺶ ﯾﺎﺳﯽ
малиновый	zereški, زرﺷﮑﯽ
светлый	rowšan, روﺷﻦ
тёмный	tire, ﺗﯿﺮه
яркий	rowšan, روﺷﻦ
цветной (карандаш)	rangi, رﻧﮕﯽ
цветной (фильм)	rangi, رﻧﮕﯽ
чёрно-белый	siyāh-o sefid, ﺳﯿﺎه و ﺳﻔﯿﺪ
одноцветный	yek rang, ﯾﮏ رﻧﮓ
разноцветный	rangārang, رﻧﮕﺎرﻧﮓ
