шапка	kolāh, ﮐﻼه
шляпа	šāpo, ﺷﺎﭘﻮ
бейсболка	kolāh beysbāl, ﮐﻼه ﺑﯿﺲ ﺑﺎل
кепка	kolāh-e taxt, ﮐﻼه ﺗﺨﺖ
берет	kolāh barre, ﮐﻼه ﺑﺮه
капюшон	kolāh-e bārāni, ﮐﻼه ﺑﺎراﻧﯽ
панамка	kolāh-e dowre-ye boland, ﮐﻼه دوره ﺑﻠﻨﺪ
вязаная шапочка	kolāh-e bāftani, ﮐﻼه ﺑﺎﻓﺘﻨﯽ
платок (головной)	rusari, روﺳﺮی
шляпка (женская)	kolāh-e zanāne, ﮐﻼه زﻧﺎﻧﻪ
каска	kolāh-e imeni, ﮐﻼه اﯾﻤﻨﯽ
пилотка (воен.)	kolāh-e pādegān, ﮐﻼه ﭘﺎدﮔﺎن
шлем	kolāh-e imeni, ﮐﻼه اﯾﻤﻨﯽ
котелок (шляпа)	kolāh-e namadi, ﮐﻼه ﻧﻤﺪی
цилиндр	kolāh-e ostovānei, ﮐﻼه اﺳﺘﻮاﻧﻪ ای
