мода	mod, ﻣﺪ
модный	mod, ﻣﺪ
модельер	tarrāh-e lebas, ﻃﺮاح ﻟﺒﺎس
воротник	yaqe, ﯾﻘﻪ
карман	jib, ﺟﯿﺐ
карманный	jibi, ﺟﯿﺒﯽ
рукав	āstin, آﺳﺘﯿﻦ
вешалка (петля)	band-e āviz, ﺑﻨﺪ آوﯾﺰ
ширинка	zip, زﯾﭗ
молния (застежка)	zip, زﯾﭗ
застёжка	sagak, ﺳﮕﮏ
пуговица	dokme, دﮐﻤﻪ
петля (для пуговицы)	surāx-e dokme, ﺳﻮراخ دﮐﻤﻪ
оторваться (о пуговице)	kande šodan, ﮐﻨﺪه ﺷﺪن
шить	duxtan, دوﺧﺘﻦ
вышивать	golduzi kardan, ﮔﻠﺪوزی ﮐﺮدن
вышивка	golduzi, ﮔﻠﺪوزی
игла (для шитья)	suzan, ﺳﻮزن
нитка	nax, ﻧﺦ
шов (швейный)	darz, درز
испачкаться	kasif šodan, ﮐﺜﯿﻒ ﺷﺪن
пятно	lakke, ﻟﮑﻪ
помяться (об одежде)	čoruk šodan, ﭼﺮوک ﺷﺪن
порвать (испортить)	pāre kardan, ﭘﺎره ﮐﺮدن
моль	šab parre, ﺷﺐ ﭘﺮه
