банк	bānk, ﺑﺎﻧﮏ
отделение	šoʿbe, ﺷﻌﺒﻪ
консультант	mošāver, ﻣﺸﺎور
управляющий	modir, ﻣﺪﯾﺮ
счёт (в банке)	hesāb-e bānki, ﺣﺴﺎب ﺑﺎﻧﮑﯽ
номер счёта	šomāre-ye hesāb, ﺷﻤﺎرۀ ﺣﺴﺎب
текущий счёт	hesāb-e jāri, ﺣﺴﺎب ﺟﺎری
накопительный счёт	hesāb-e pasandāz, ﺣﺴﺎب ﭘﺲ اﻧﺪاز
открыть счёт	hesāb-e bāz kardan, ﺣﺴﺎب ﺑﺎز ﮐﺮدن
закрыть счёт	hesāb rā bastan, ﺣﺴﺎب را ﺑﺴﺘﻦ
положить на счёт	be hesāb rixtan, ﺑﻪ ﺣﺴﺎب رﯾﺨﺘﻦ
снять со счёта	az hesāb bardāštan, از ﺣﺴﺎب ﺑﺮداﺷﺘﻦ
вклад	seporde, ﺳﭙﺮده
сделать вклад	seporde gozāštan, ﺳﭙﺮده ﮔﺬاﺷﺘﻦ
перевод	enteqāl, اﻧﺘﻘﺎل
сделать перевод	enteqāl dādan, اﻧﺘﻘﺎل دادن
сумма	jamʿ-e kol, ﺟﻤﻊ ﮐﻞ
Сколько? (о деньгах)	čeqadr?, ﭼﻘﺪر؟
подпись	emzāʾ, اﻣﻀﺎء
подписать	emzā kardan, اﻣﻀﺎ ﮐﺮدن
кредитная карта	kārt-e eʿtebāri, ﮐﺎرت اﻋﺘﺒﺎری
код	kod, ﮐﺪ
номер кредитной карты	šomāre-ye kārt-e eʿtebāri, ﺷﻤﺎره ﮐﺎرت اﻋﺘﺒﺎری
банкомат	xodpardāz, ﺧﻮدﭘﺮداز
чек	ček, ﭼﮏ
выписать чек	ček neveštan, ﭼﮏ ﻧﻮﺷﺘﻦ
чековая книжка	daste-ye ček, دﺳﺘﻪ ﭼﮏ
кредит (займ)	eʿtebār, اﻋﺘﺒﺎر
обращаться за кредитом	darxāst-e vam kardan, درﺧﻮاﺳﺖ وام ﮐﺮدن
брать кредит	vām gereftan, وام ﮔﺮﻓﺘﻦ
предоставлять кредит	vām dādan, وام دادن
гарантия (залог)	zemānat, ﺿﻤﺎﻧﺖ
