блюдо	qazā, ﻏﺬا
кухня (национальная)	qazā, ﻏﺬا
рецепт (кулинарн.)	dastur-e poxt, دﺳﺘﻮر ﭘﺨﺖ
порция	pors, ﭘﺮس
салат	sālād, ﺳﺎﻻد
суп	sup, ﺳﻮپ
бульон	pāye-ye sup, ﭘﺎﯾﻪ ﺳﻮپ
бутерброд	sāndevič, ﺳﺎﻧﺪوﯾﭻ
яичница	nimru, ﻧﯿﻤﺮو
гамбургер	hamberger, ﻫﻤﺒﺮﮔﺮ
бифштекс	esteyk, اﺳﺘﯿﮏ
гарнир	moxallafāt, ﻣﺨﻠﻔﺎت
спагетти	espāgeti, اﺳﭙﺎﮔﺘﯽ
картофельное пюре	pure-ye sibi zamini, ﭘﻮرۀ ﺳﯿﺐ زﻣﯿﻨﯽ
пицца	pitzā, ﭘﯿﺘﺰا
каша	šurbā, ﺷﻮرﺑﺎ
омлет	ommol-at, اﻣﻠﺖ
варёный	āb paz, آب ﭘﺰ
копчёный	dudi, دودی
жареный (на сковороде)	sorx šode, ﺳﺮخ ﺷﺪه
сушёный	xošk, ﺧﺸﮏ
замороженный	yax zade, ﯾﺦ زده
маринованный	torši, ﺗﺮﺷﯽ
сладкий (о чае, кофе)	širin, ﺷﯿﺮﯾﻦ
солёный	šur, ﺷﻮر
холодный	sard, ﺳﺮد
горячий	dāq, داغ
горький	talx, ﺗﻠﺦ
вкусный	xoš mazze, ﺧﻮش ﻣﺰه
варить (готовить)	poxtan, ﭘﺨﺘﻦ
готовить (ужин)	poxtan, ﭘﺨﺘﻦ
жарить	sorx kardan, ﺳﺮخ ﮐﺮدن
разогревать	garm kardan, ﮔﺮم ﮐﺮدن
солить	namak zadan, ﻧﻤﮏ زدن
перчить	felfel pāšidan, ﻓﻠﻔﻞ ﭘﺎﺷﯿﺪن
тереть (на тёрке)	rande kardan, رﻧﺪه ﮐﺮدن
кожура	pust, ﭘﻮﺳﺖ
чистить (картошку и т.п.)	pust kandan, ﭘﻮﺳﺖ ﮐﻨﺪن
