Почему?	čerā?, ﭼﺮا؟
почему-то	be dalil-i, ﺑﻪ دﻟﯿﻠﯽ
потому, что …	čon, ﭼﻮن
зачем-то	barā-ye maqsudi, ﺑﺮای ﻣﻘﺼﻮدی
и	va, و
или	yā, ﯾﺎ
но	ammā, اﻣﺎ
для (предлог)	barā-ye, ﺑﺮای
слишком	besyār, ﺑﺴﯿﺎر
только	faqat, ﻓﻘﻂ
точно	daqiqan, دﻗﯿﻘﺎ
около (~ 10 кг)	taqriban, ﺗﻘﺮﯾﺒﺎً
приблизительно	taqriban, ﺗﻘﺮﯾﺒﺎً
приблизительный	taqribi, ﺗﻘﺮﯾﺒﯽ
почти	taqriban, ﺗﻘﺮﯾﺒﺎً
остальное	baqiye, ﺑﻘﯿﻪ
другой (второй)	digar, دﯾﮕﺮ
другой (иной)	digar, دﯾﮕﺮ
каждый	har, ﻫﺮ
любой	har, ﻫﺮ
много	ziyād, زﯾﺎد
многие	besyāri, ﺑﺴﯿﺎری
все (все люди)	hame, ﻫﻤﻪ
в обмен на …	dar avaz, در ﻋﻮض
взамен	dar barābar, در ﺑﺮاﺑﺮ
вручную	dasti, دﺳﺘﯽ
вряд ли	baid ast, ﺑﻌﯿﺪ اﺳﺖ
наверное (вероятно)	ehtemālan, اﺣﺘﻤﺎﻻً
нарочно	amdan, ﻋﻤﺪاً
случайно	tasādofi, ﺗﺼﺎدﻓﯽ
очень	besyār, ﺑﺴﯿﺎر
например	masalan, ﻣﺜﻼً
между	beyn, ﺑﯿﻦ
среди	miyān, ﻣﯿﺎن
столько	in qadr, اﯾﻦ ﻗﺪر
особенно	maxsusan, ﻣﺨﺼﻮﺻﺎً
