болезнь	bimāri, ﺑﯿﻤﺎری
болеть (быть больным)	bimār budan, ﺑﯿﻤﺎر ﺑﻮدن
здоровье	salāmati, ﺳﻼﻣﺘﯽ
насморк	āb-e rizeš-e bini, آب رﯾﺰش ﺑﯿﻨﯽ
ангина	varam-e lowze, ورم ﻟﻮزه
простуда	sarmā xordegi, ﺳﺮﻣﺎ ﺧﻮردﮔﯽ
простудиться	sarmā xordan, ﺳﺮﻣﺎ ﺧﻮردن
бронхит	boronšit, ﺑﺮﻧﺸﯿﺖ
воспаление лёгких	zātorrie, ذات اﻟﺮﯾﻪ
грипп	ānfolānzā, آﻧﻔﻮﻻﻧﺰا
близорукий	nazdik bin, ﻧﺰدﯾﮏ ﺑﯿﻦ
дальнозоркий	durbin, دورﺑﯿﻦ
косоглазие	enherāf-e čašm, اﻧﺤﺮاف ﭼﺸﻢ
косоглазый	luč, ﻟﻮچ
катаракта	āb morvārid, آب ﻣﺮوارﯾﺪ
глаукома	ab-e siyāh, آب ﺳﯿﺎه
инсульт	sekte-ye maqzi, ﺳﮑﺘﻪ ﻣﻐﺰی
инфаркт	sekte-ye qalbi, ﺳﮑﺘﻪ ﻗﻠﺒﯽ
инфаркт миокарда	ānfārktus, آﻧﻔﺎرﮐﺘﻮس
паралич	falaji, ﻓﻠﺠﯽ
парализовать	falj kardan, ﻓﻠﺞ ﮐﺮدن
аллергия	ālerži, آﻟﺮژی
астма	āsm, آﺳﻢ
диабет	diyābet, دﯾﺎﺑﺖ
зубная боль	dandān-e dard, دﻧﺪان درد
кариес	pusidegi, ﭘﻮﺳﯿﺪﮔﯽ
диарея	eshāl, اﺳﻬﺎل
запор	yobusat, ﯾﺒﻮﺳﺖ
расстройство желудка	nārāhati-ye meʿde, ﻧﺎراﺣﺘﯽ ﻣﻌﺪه
отравление (пищевое)	masmumiyat, ﻣﺴﻤﻮﻣﯿﺖ
отравиться (едой)	masmum šodan, ﻣﺴﻤﻮم ﺷﺪن
артрит	varam-e mafāsel, ورم ﻣﻔﺎﺻﻞ
рахит	rāšitism, راﺷﯿﺘﯿﺴﻢ
ревматизм	romātism, روﻣﺎﺗﯿﺴﻢ
атеросклероз	tasallob-e šarāin, ﺗﺼﻠﺐ ﺷﺮاﺋﯿﻦ
гастрит	varam-e meʿde, ورم ﻣﻌﺪه
аппендицит	āpāndisit, آﭘﺎﻧﺪﯾﺴﯿﺖ
холецистит	eltehāb-e kise-ye safrā, اﻟﺘﻬﺎب ﮐﯿﺴﻪ ﺻﻔﺮا
язва (внутренняя)	zaxm, زﺧﻢ
корь	sorxak, ﺳﺮﺧﮏ
краснуха	sorxje, ﺳﺮﺧﺠﻪ
желтуха	yaraqān, ﯾﺮﻗﺎن
гепатит	hepātit, ﻫﭙﺎﺗﯿﺖ
шизофрения	šizoferni, ﺷﯿﺰوﻓﺮﻧﯽ
бешенство	hāri, ﻫﺎری
невроз	extelāl-e aʿsāb, اﺧﺘﻼل اﻋﺼﺎب
сотрясение мозга	zarbe-ye maqzi, ﺿﺮﺑﻪ ﻣﻐﺰی
рак	saratān, ﺳﺮﻃﺎن
склероз	eskeleroz, اﺳﮑﻠﺮوز
рассеянный склероз	eskeleroz čandgāne, اﺳﮑﻠﺮوز ﭼﻨﺪﮔﺎﻧﻪ
алкоголизм	alkolism, اﻟﮑﻠﯿﺴﻢ
алкоголик	alkoli, اﻟﮑﻠﯽ
сифилис	siflis, ﺳﯿﻔﻠﯿﺲ
СПИД	eydz, اﯾﺪز
опухоль (внутренняя)	tumor, ﺗﻮﻣﻮر
злокачественная	bad xim, ﺑﺪ ﺧﯿﻢ
доброкачественная	xoš xim, ﺧﻮش ﺧﯿﻢ
лихорадка	tab, ﺗﺐ
малярия	mālāriyā, ﻣﺎﻻرﯾﺎ
гангрена	qānqāriyā, ﻗﺎﻧﻘﺎرﯾﺎ
морская болезнь	daryā-zadegi, درﯾﺎزدﮔﯽ
эпилепсия	sarʿ, ﺻﺮع
эпидемия	epidemi, اﭘﯿﺪﻣﯽ
тиф	hasbe, ﺣﺼﺒﻪ
туберкулёз	sel, ﺳﻞ
холера	vabā, وﺑﺎ
чума	tāʿun, ﻃﺎﻋﻮن
